// SR4R voice dict file 12/17
// Lines 11001-12000 of 16797
// Format: "English": "Chinese translation";

"This is amazing!": "太神奇了！";
"Oh shit, that's not good...": "Oh shit, that's not good...";
"Pretending to shoot stuff.": "Pretending to shoot stuff.";
"Who me?  You really don't know who you're fucking with anymore, Tony.": "Who me?  You really don't know who you're fucking with anymore, Tony.";
"What is this?!": "What is this?!";
"Kinzie. Sometimes I swear you make this stuff up as you go.": "Kinzie. Sometimes I swear you make this stuff up as you go.";
"Aw. Damn...": "Aw. Damn...";
"Awesome to hear that's all done.  Come on back and I may have something for  you.": "Awesome to hear that's all done.  Come on back and I may have something for  you.";
"Fuck me...": "我操...";
"Gotta get to my feet. Come on.": "Gotta get to my feet. Come on.";
"Gotta be honest. Helping out was cool but it doesn't change the fact being stuck in this simulation kinda sucks. Quality of life'd be a lot better if you could clean this place up a bit.": "Gotta be honest. Helping out was cool but it doesn't change the fact being stuck in this simulation kinda sucks. Quality of life'd be a lot better if you could clean this place up a bit.";
"Too chickenshit to fight me yourself?": "Too chickenshit to fight me yourself?";
"Nobody thinks these things.": "Nobody thinks these things.";
"Well, that's handy.": "Well, that's handy.";
"I was hoping you'd find some pants Matt.": "I was hoping you'd find some pants Matt.";
"On it.": "马上办。";
"Let's do this.  Geronimo!": "Let's do this.  Geronimo!";
"Hey Maero, how's Jessica?": "Hey Maero, how's Jessica?";
"I have a block button?": "I have a block button?";
"Matt's right, neither of those would work.": "Matt's right, neither of those would work.";
"Whine, whine, whine...": "Whine, whine, whine...";
"All right. You do that while I take on these guys.": "All right. You do that while I take on these guys.";
"Paul? Seriously? That's it name?": "Paul? Seriously? That's it name?";
"Where is this goddamn platform...?": "Where is this goddamn platform...?";
"Maero...": "Maero...";
"\\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\\"": "\\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\\"";
"What is going on, Shaundi?": "What is going on, Shaundi?";
"Shaundi, I feel funny leaving you with this bunch.": "Shaundi, I feel funny leaving you with this bunch.";
"Really? How?": "Really? How?";
"I have the missile on visual. Holy shit, Boss.": "I have the missile on visual. Holy shit, Boss.";
"Great. I have murderbots!": "Great. I have murderbots!";
"Fucking ass--": "Fucking ass--";
"Are you sure it's him.": "Are you sure it's him.";
"Kinzie, don't bother.  He's right.  Sometimes you have to do it yourself.": "Kinzie, don't bother.  He's right.  Sometimes you have to do it yourself.";
"Helluva welcome back, huh, Johnny?": "Helluva welcome back, huh, Johnny?";
"Why should you climb this tower? Because it's there.": "Why should you climb this tower? Because it's there.";
"Oh fuck...what's that taste in my throat?": "Oh fuck...what's that taste in my throat?";
"Throw me whatever you got.": "Throw me whatever you got.";
"I'll need to find the relays first. Some areas of the simulation offer a more advantageous mapping point than others. Let's get to one.": "I'll need to find the relays first. Some areas of the simulation offer a more advantageous mapping point than others. Let's get to one.";
"Pierce has drank so much Saints Flow, I don't think he *can* die.": "Pierce has drank so much Saints Flow, I don't think he *can* die.";
"Hey, I'm the expert here, remember?  Trust me, this wasn't what we're after.": "Hey, I'm the expert here, remember?  Trust me, this wasn't what we're after.";
"Well, at least I can shop just about anywhere now.": "Well, at least I can shop just about anywhere now.";
"I... uh, passed by him on the way out.": "I... uh, passed by him on the way out.";
"God, I feel sick...": "God, I feel sick...";
"Ooh, I love it when you get all evil genius on me.": "Ooh, I love it when you get all evil genius on me.";
"Good work, you two. Especially you, Matt.": "Good work, you two. Especially you, Matt.";
"*BEEP*? What the *BEEP* is with the *BEEP*?": "*BEEP*? What the *BEEP* is with the *BEEP*?";
"Guns, magnificent guns.": "Guns, magnificent guns.";
"Now that I believe.": "Now that I believe.";
"Do you think the entire White House was leveled?": "Do you think the entire White House was leveled?";
"Right, then.  I'll just be following CID.": "Right, then.  I'll just be following CID.";
"Anything you need, Matt and I can handle.  Just say the word.": "Anything you need, Matt and I can handle.  Just say the word.";
"Strewth.  I think I actually understood that.": "Strewth.  I think I actually understood that.";
"I could use a place to get new threads nearby. Can you crack that Image as Designed?": "I could use a place to get new threads nearby. Can you crack that Image as Designed?";
"Once CID's online, how long till we can use him to get my crew back?": "Once CID's online, how long till we can use him to get my crew back?";
"I hope you're almost done, CID.": "I hope you're almost done, CID.";
"Kinzie, we have to go. What is wrong--": "Kinzie, we have to go. What is wrong--";
"Kinzie?": "金吉？";
"really?": "really?";
"Tell me, Keith!": "Tell me, Keith!";
"I was kidding!": "I was kidding!";
"Don't worry, I'll be there, blah blah FUCK": "Don't worry, I'll be there, blah blah FUCK";
"Let's do this.": "Let's do this.";
"Just hang on, here comes the rescue vehicle now.": "Just hang on, here comes the rescue vehicle now.";
"Of course I do, Matt...": "Of course I do, Matt...";
"What is up with there always being three things?": "What is up with there always being three things?";
"I built, I watched, and then I acted.  That's how I brought the Vice Kings up to be one of the strongest crews in Stilwater.  Only problem was my lieutenants didn't have the same patience.  That bitch Tanya drove a wedge between Tony and Warren.  Then she convinced Warren to try and take me out, only to stab him in the back and take it all for herself.  I may have lost the Vice Kings, but killin' her almost made it worth the trouble.  Good thing the playa was there to help.": "I built, I watched, and then I acted.  That's how I brought the Vice Kings up to be one of the strongest crews in Stilwater.  Only problem was my lieutenants didn't have the same patience.  That bitch Tanya drove a wedge between Tony and Warren.  Then she convinced Warren to try and take me out, only to stab him in the back and take it all for herself.  I may have lost the Vice Kings, but killin' her almost made it worth the trouble.  Good thing the playa was there to help.";
"What is this intrusion?!": "What is this intrusion?!";
"Mmm! Freckle Bitches!": "Mmm! Freckle Bitches!";
"Any disasters happen in the past five minutes?": "Any disasters happen in the past five minutes?";
"Oh. See, Kinzie, that actually makes it sound fun.": "Oh. See, Kinzie, that actually makes it sound fun.";
"So where is this \\"Army of Minions\\" at?": "So where is this \\"Army of Minions\\" at?";
"I want payback and I need your help to do it.  Come see me and I'll go over the plan.": "I want payback and I need your help to do it.  Come see me and I'll go over the plan.";
"seriously?": "seriously?";
"Y'know. Took out some terrorists, became the President of the United States. Rolled back the national debt, got to fly Air Force One.": "Y'know. Took out some terrorists, became the President of the United States. Rolled back the national debt, got to fly Air Force One.";
"It's time.  Are you ready to tear the simulation down?": "It's time.  Are you ready to tear the simulation down?";
"Ugh...  We need compatible power sources to make it work.  I'm sending CID in there to help you with that.  Try to be nice to him.": "Ugh...  We need compatible power sources to make it work.  I'm sending CID in there to help you with that.  Try to be nice to him.";
"You're right, it did.  Nice job, Pierce.": "You're right, it did.  Nice job, Pierce.";
" Y'know, I really miss hanging out. You wanna do something?": " Y'know, I really miss hanging out. You wanna do something?";
"I hope you're on your way, Kinzie.": "I hope you're on your way, Kinzie.";
"How are things?": "How are things?";
"So an evil version of me is your worst nightmare?": "So an evil version of me is your worst nightmare?";
"Honey...it's a gun.  I get it.": "Honey...it's a gun.  I get it.";
"Uh-oh.": "Uh-oh.";
"Here we go.": "Here we go.";
"To give his people a boost or something.  I don't know, you're the one who says they're \\"amazing\\".": "To give his people a boost or something.  I don't know, you're the one who says they're \\"amazing\\".";
"Ok, ok, I take it back.": "Ok, ok, I take it back.";
"There's a block button?": "There's a block button?";
"Y'know, for all your big talk, that armor just  says you're scared of me.": "Y'know, for all your big talk, that armor just  says you're scared of me.";
"Sounds like trouble. ": "Sounds like trouble. ";
"Do you have a place I can test this?": "Do you have a place I can test this?";
"Thank god you're here!": "Thank god you're here!";
"You got it.": "没问题。";
"CID, what is wrong with you?": "CID, what is wrong with you?";
"Almost to Matt...": "Almost to Matt...";
"Data received. Hm. Very interesting. It seems AAAAAAAAAAAAAAAAAH!": "Data received. Hm. Very interesting. It seems AAAAAAAAAAAAAAAAAH!";
"We're going to party! Karamu! Fiesta! Forever!": "We're going to party! Karamu! Fiesta! Forever!";
"I don't pay attention to these things.": "I don't pay attention to these things.";
"DELETE": "删除";
"Well, if he can help it'd be worth it, right?  Besides, what's the worse that can happen?": "Well, if he can help it'd be worth it, right?  Besides, what's the worse that can happen?";
"To the cockpit!": "To the cockpit!";
"Why me...": "Why me...";
"We need to regroup so we can back King's play.": "We need to regroup so we can back King's play.";
"Everybody, hold on!": "Everybody, hold on!";
"That coulda been a real bonding experience...": "That coulda been a real bonding experience...";
"Nice shot.": "Nice shot.";
"So, will three of these suffice?": "So, will three of these suffice?";
"Yeah you did.": "Yeah you did.";
"Let's get out of here. I can't stand the way this has turned out.": "Let's get out of here. I can't stand the way this has turned out.";
"What the hell?!": "搞什么？！";
"Can you fly us to the big statue?": "Can you fly us to the big statue?";
"Right, then.  What're you waiting for?  King me.": "Right, then.  What're you waiting for?  King me.";
"Watch and learn, superspy.": "Watch and learn, superspy.";
"Blazing!": "Blazing!";
"Indulge me. ": "Indulge me. ";
"You can't kill me, I'm triple platinum!": "You can't kill me, I'm triple platinum!";
"Uh-huh.": "Uh-huh.";
"Shit. What the fuck is going on?": "Shit. What the fuck is going on?";
"Okay, let's...check some computer thing...": "Okay, let's...check some computer thing...";
"Blue skies and hummingbirds. Come on out.": "Blue skies and hummingbirds. Come on out.";
"Go to the right!": "Go to the right!";
"We'll make some new memories, Ben, soon as we waste Tony and Tanya.": "We'll make some new memories, Ben, soon as we waste Tony and Tanya.";
"Almost...almost...": "Almost...almost...";
"CID's gonna be helping me and you're worried about ME being nice?": "CID's gonna be helping me and you're worried about ME being nice?";
"Uh... huh. Not exactly what I was expecting.": "Uh... huh. Not exactly what I was expecting.";
"I did not expect that much skill.": "I did not expect that much skill.";
"Earlier I was talking to King and that conversation cut out too...any idea what's causing that?": "Earlier I was talking to King and that conversation cut out too...any idea what's causing that?";
"Christ, what now...": "Christ, what now...";
"Oh shit. This is just great.": "Oh shit. This is just great.";
"Ohhhh Shit!": "Ohhhh Shit!";
"If I die, please plant a flower where I fall.": "If I die, please plant a flower where I fall.";
"Had I any idea you would be so willing to sacrifice yourself to save the world, I... suppose I wouldn't have tried to kill you.": "Had I any idea you would be so willing to sacrifice yourself to save the world, I... suppose I wouldn't have tried to kill you.";
"Oh yeah, always. Naw, I'm joking. No idea.": "Oh yeah, always. Naw, I'm joking. No idea.";
"Johnny. How do I get to him?": "Johnny. How do I get to him?";
"That did it! The shield is down, now go get Johnny.": "That did it! The shield is down, now go get Johnny.";
"What?!... Dammit!  Zinyak removed all sign of the Saints from the simulation.  That means...": "What?!... Dammit!  Zinyak removed all sign of the Saints from the simulation.  That means...";
"Hold on, THIS is your greatest fear?  Marketing gone bad?": "Hold on, THIS is your greatest fear?  Marketing gone bad?";
"Feeling a little competition there, Johnny?": "Feeling a little competition there, Johnny?";
"Hey, I was just--": "Hey, I was just--";
"Good luck, you two. CID, come with me.": "Good luck, you two. CID, come with me.";
"Aw shit. Another of these guys?!": "Aw shit. Another of these guys?!";
"DELETE": "删除";
"Matt, get on it!": "Matt, get on it!";
"Now would be a good time to show up, Kinzie.": "Now would be a good time to show up, Kinzie.";
"I'm hoping it'll be a robot.": "I'm hoping it'll be a robot.";
"You both sit tight. I'll be back for you.": "You both sit tight. I'll be back for you.";
"So how do we take down these relays?": "So how do we take down these relays?";
"...no.": "...no.";
"It's all right. But let's get going.": "It's all right. But let's get going.";
"Good point. So what's up?": "Good point. So what's up?";
"No love from the fire trap!": "火焰陷阱一点面子都不给！";
"Shit, where's the nearest store again?": "Shit, where's the nearest store again?";
"Well, well. I admit that I'm impressed. You may just have what it takes to cut it in MI6 after all.": "Well, well. I admit that I'm impressed. You may just have what it takes to cut it in MI6 after all.";
"On the plus side I have a tank.  On the down side there's a solid chance of it killing me.": "On the plus side I have a tank.  On the down side there's a solid chance of it killing me.";
"Leave it me. Have you gathered the others?": "Leave it me. Have you gathered the others?";
"Good to see you haven't changed THAT much...": "Good to see you haven't changed THAT much...";
"Oh shit!": "妈的！";
"The fish are--what are you talking about?": "The fish are--what are you talking about?";
"Fuck him...": "Fuck him...";
"Dammit, didn't we leave this group behind?": "Dammit, didn't we leave this group behind?";
"I think I figured out how to open more of those doorways back to the ship for you.  Come see me and I'll explain.": "I think I figured out how to open more of those doorways back to the ship for you.  Come see me and I'll explain.";
"Johnny's keeping busy...": "Johnny's keeping busy...";
"That wasn't a bad \\"fuck you\\" to Zinyak. Now let's get back to the ship and find Kinzie.": "That wasn't a bad \\"fuck you\\" to Zinyak. Now let's get back to the ship and find Kinzie.";
"Let's waste no time.": "Let's waste no time.";
"*pew*pew*pew*": "*pew*pew*pew*";
"Way to go Kinzie!": "Way to go Kinzie!";
"So what's the plan when we get there?": "So what's the plan when we get there?";
"Why does this place look so...white bread?": "Why does this place look so...white bread?";
"Fair enough.": "Fair enough.";
"Hold on. Why did I shoot the light if--": "Hold on. Why did I shoot the light if--";
"Big finish, huh? Let's do it.": "Big finish, huh? Let's do it.";
"Oh you're good.": "Oh you're good.";
"God, I feel sick...": "God, I feel sick...";
"Matt! Asha! What do we know?": "Matt! Asha! What do we know?";
"The guy with the spike on his head? Oh yeah. Jeff? Zavian? Damien?": "The guy with the spike on his head? Oh yeah. Jeff? Zavian? Damien?";
"You never could recognize true talent.": "You never could recognize true talent.";
"And once we get there?": "And once we get there?";
"Luckily we had Kinzie, and Zimos, and Oleg, and...": "Luckily we had Kinzie, and Zimos, and Oleg, and...";
"Gat, take care of these guys while I get the door open.": "Gat, take care of these guys while I get the door open.";
"NO, NO, NO, NO, NO, NO! DON'T PUT IN A SPACE!": "NO, NO, NO, NO, NO, NO! DON'T PUT IN A SPACE!";
"Anytime you wanna fix this Kinzie...": "Anytime you wanna fix this Kinzie...";
"I am sorry that your planet blew up.  I am uncertain what happened to my own.  Perhaps it is still out there and we could visit it someday.  Oh, do not try to accept any drink handed to you.": "I am sorry that your planet blew up.  I am uncertain what happened to my own.  Perhaps it is still out there and we could visit it someday.  Oh, do not try to accept any drink handed to you.";
"Of course I am, Kinzie.": "Of course I am, Kinzie.";
"Indulge me. ": "Indulge me. ";
"Okay, maybe I am. But I let's not have this conversation right now.": "Okay, maybe I am. But I let's not have this conversation right now.";
"Huh. Good sound system, good lighting... Ben, I have to do something. Meet me by the backstage door.": "Huh. Good sound system, good lighting... Ben, I have to do something. Meet me by the backstage door.";
"Here comes the head of the Ronin himself: JYUNICHI!": "Here comes the head of the Ronin himself: JYUNICHI!";
"I suppose you're right.": "I suppose you're right.";
"Well, of course I am. But I really don't want to have this conversation right now.": "Well, of course I am. But I really don't want to have this conversation right now.";
"Well--": "Well--";
"You both sit tight. I'll be back for you.": "You both sit tight. I'll be back for you.";
"Die, mascots, die!": "Die, mascots, die!";
"Watch it, Matt!": "Watch it, Matt!";
"Hey Pierce...": "Hey Pierce...";
"Pierce, hold on!": "Pierce, hold on!";
"I need Rim Jobs hacked please.  Well, if you want another exit to the ship that is...": "I need Rim Jobs hacked please.  Well, if you want another exit to the ship that is...";
"Non-conformity, nobody swears, no violence--": "Non-conformity, nobody swears, no violence--";
"Hi-diddly-I, neighbor!": "Hi-diddly-I, neighbor!";
"Oh, that is smashing!": "Oh, that is smashing!";
"Keith, what are you doing!?": "Keith, what are you doing!?";
"I see the Vice Kings have a bit of a fancy fella with them.": "I see the Vice Kings have a bit of a fancy fella with them.";
"1950s television sitcom.": "1950s television sitcom.";
"Never stop.": "Never stop.";
"What, are you the best the Saints have?  Pathetic!": "What, are you the best the Saints have?  Pathetic!";
"DELETE": "删除";
"Look, we can do this. We just need to stay focused. So keep your shit together, you hear me?": "Look, we can do this. We just need to stay focused. So keep your shit together, you hear me?";
"Alright. I gotta know. Keith David? How the hell did that happen?": "Alright. I gotta know. Keith David? How the hell did that happen?";
"UH! YEAH!": "UH! YEAH!";
"Pretending to shoot stuff.": "Pretending to shoot stuff.";
"Guess I don't have a choice...": "Guess I don't have a choice...";
"Someone needs a nap...": "有人该睡午觉了……";
"Gat, you with me?": "Gat, you with me?";
"Gotta come up with something better tha pushing her a window this time!": "Gotta come up with something better tha pushing her a window this time!";
"Shaundi, check the cargo bay. It's just as vulnerable as the airlock. Gat, come with me.": "Shaundi, check the cargo bay. It's just as vulnerable as the airlock. Gat, come with me.";
"I'm meeting up with Matt. I'll be in touch via comm.": "I'm meeting up with Matt. I'll be in touch via comm.";
"And shedding these ridiculous clothes isn't a \\"basic hack\\"?": "And shedding these ridiculous clothes isn't a \\"basic hack\\"?";
"I have my moments.": "I have my moments.";
"Not the exact words I'd use...": "Not the exact words I'd use...";
"Don't worry, I'll be there, blah blah FUCK.": "Don't worry, I'll be there, blah blah FUCK.";
"Come again?": "你再说一遍？";
"For this not being a calamity like last time...": "For this not being a calamity like last time...";
"How do I get this heap to Earth?": "How do I get this heap to Earth?";
"You nicked my mates!": "You nicked my mates!";
"I did what I could! I can't really fix it right now!": "I did what I could! I can't really fix it right now!";
"Any bright ideas on how to keep us from dying?": "Any bright ideas on how to keep us from dying?";
"Something ain't right. This is all--": "Something ain't right. This is all--";
"I'll be right back. I'm going to get the car.": "I'll be right back. I'm going to get the car.";
"Lots of firepower here, Kinzie.": "Lots of firepower here, Kinzie.";
"A block button? Where?": "A block button? Where?";
"Aisha, are you okay?": "Aisha, are you okay?";
"I suppose killing zombies IS kinda fun... ": "I suppose killing zombies IS kinda fun... ";
"Shit was a lot simpler back in Stilwater.": "Shit was a lot simpler back in Stilwater.";
"Well, that's one.": "Well, that's one.";
"CID...girls don't like dating bossy robots.": "CID...girls don't like dating bossy robots.";
"Right.": "好。";
"Got it.": "收到。";
"*struggling*": "*struggling*";
"Oh god. Come on...": "Oh god. Come on...";
"Whoa!": "Whoa!";
"Let's do this...": "Let's do this...";
"Hey, you think you have a training program stashed away that'll work for this?": "Hey, you think you have a training program stashed away that'll work for this?";
"*pew*pew*pew*": "*pew*pew*pew*";
"Jesus Christ Zinyak, are you 13?": "Jesus Christ Zinyak, are you 13?";
"Right.  Friendly Fire it is.": "Right.  Friendly Fire it is.";
"So, three of these enough?": "So, three of these enough?";
"I'm the goddamned President.": "I'm the goddamned President.";
"Why are there two of me now?!": "Why are there two of me now?!";
"So we're not blowing up?": "So we're not blowing up?";
"Hehe. Why, you do have a queer sense of humor.": "Hehe. Why, you do have a queer sense of humor.";
"Hard to believe the Earth's really gone.": "Hard to believe the Earth's really gone.";
"Wowee! You could almost touch 'em!": "Wowee! You could almost touch 'em!";
"Stay strong Matthew, I'm coming.": "Stay strong Matthew, I'm coming.";
"They have the key!": "They have the key!";
"Matt said since you're not actually a simulation program, you should be immune to the virus.": "Matt said since you're not actually a simulation program, you should be immune to the virus.";
"TRY.": "TRY.";
"Little bit.": "Little bit.";
"KINZIE NO!": "KINZIE NO!";
"I dunno. But when I find Matt and Asha, I'm gonna beat that information out of them.": "I dunno. But when I find Matt and Asha, I'm gonna beat that information out of them.";
"Home stretch here.  You got this, boss.": "Home stretch here.  You got this, boss.";
"Looks like someone broke your shit, Zinyak.": "Looks like someone broke your shit, Zinyak.";
"King, ol' buddy, it's me.  Don't you remember running my White House?": "King, ol' buddy, it's me.  Don't you remember running my White House?";
"Inject a virus into this simulation and kill every motherfucker who tries to stop you.": "Inject a virus into this simulation and kill every motherfucker who tries to stop you.";
"Aww, jeepers. This is peachy.": "Aww, jeepers. This is peachy.";
"At least your direct.": "At least your direct.";
"Why does my ass hurt?": "Why does my ass hurt?";
"Shit. Wh-what's it doing, Kinzie?": "Shit. Wh-what's it doing, Kinzie?";
"I really appreciate your help. I'm gonna smoke a bulb in your honor.": "I really appreciate your help. I'm gonna smoke a bulb in your honor.";
"I don't think we would've made it this far if Zinyak didn't think he could handle us.": "I don't think we would've made it this far if Zinyak didn't think he could handle us.";
"Shit, let me try.": "Shit, let me try.";
"Wait a minute. Your handler is-- was that Matt Miller?": "Wait a minute. Your handler is-- was that Matt Miller?";
"Eyes open, people.": "Eyes open, people.";
"Yeah, I got it...": "Yeah, I got it...";
"Educational, huh. You know me so well.": "Educational, huh. You know me so well.";
"That's good at least. Okay, I need to get out of here.": "That's good at least. Okay, I need to get out of here.";
"Fucking eye beams? What the hell!": "Fucking eye beams? What the hell!";
"Done! Let's check on Shaundi.": "Done! Let's check on Shaundi.";
"You never should've fucked with my rose garden!": "You never should've fucked with my rose garden!";
"Hole, I'm going to...": "Hole, I'm going to...";
"Is MI6 really called upon to escort TV correspondents on shopping trips?": "Is MI6 really called upon to escort TV correspondents on shopping trips?";
"You pinched my cabinet!": "You pinched my cabinet!";
"What's the good word?": "What's the good word?";
"Building an empire? How?": "Building an empire? How?";
"Wow, way to balance inspirational speech and totally creepy cult leader, Asha.": "Wow, way to balance inspirational speech and totally creepy cult leader, Asha.";
"Got it.  Anything else?": "Got it.  Anything else?";
"We've had some good times together haven't we...": "We've had some good times together haven't we...";
"I was born ready--": "I was born ready--";
"Kinzie's gonna pick us up. I'm walking you out of here, Matt. Stay close and stay away from dying.": "Kinzie's gonna pick us up. I'm walking you out of here, Matt. Stay close and stay away from dying.";
"I'm just trying to get our ex out of our lives for good.  I thought you'd at least appreciate that.": "I'm just trying to get our ex out of our lives for good.  I thought you'd at least appreciate that.";
"Is that all?  Easy enough.  You pick the others up?": "Is that all?  Easy enough.  You pick the others up?";
"You need me to ravage you.": "You need me to ravage you.";
"What are these, Zin pinatas?": "What are these, Zin pinatas?";
"So I'm not really up to date on NyteBlayde fiction. Who are the Cyprian Order again?": "So I'm not really up to date on NyteBlayde fiction. Who are the Cyprian Order again?";
"If you insist.": "那就依你。";
"I got it!": "I got it!";
"Die, mascots, die!": "Die, mascots, die!";
"Johnny can handle himself. Hell, if Matt Miller can survive...": "Johnny can handle himself. Hell, if Matt Miller can survive...";
"Well that didn't go terrible.": "Well that didn't go terrible.";
"Yes, bravo... Perhaps my Wardens underestimated you.  I won't let them make the same mistake twice.": "Yes, bravo... Perhaps my Wardens underestimated you.  I won't let them make the same mistake twice.";
"To get through, we'll have to disguise ourselves as mundane objects that would be perfectly at home in a warehouse environment. Ah. Such as these cardboard boxes.": "To get through, we'll have to disguise ourselves as mundane objects that would be perfectly at home in a warehouse environment. Ah. Such as these cardboard boxes.";
"Tell Zinyak his ass is mine!": "Tell Zinyak his ass is mine!";
"DELETE": "删除";
"Fine. I'll go get us a vehicle.": "Fine. I'll go get us a vehicle.";
"Dial it back, Kinzie.  I don't like seeing you like this.": "Dial it back, Kinzie.  I don't like seeing you like this.";
"WOAH!": "WOAH!";
"So give it power.": "So give it power.";
"Matt! Asha! What do we know?": "Matt! Asha! What do we know?";
"Oh man. This place. *BEEP* ME.": "Oh man. This place. *BEEP* ME.";
"Now they're at peace.": "Now they're at peace.";
"Set down anywhere, gat.  I'll get to you.  Kinzie, keep an eye on us!": "Set down anywhere, gat.  I'll get to you.  Kinzie, keep an eye on us!";
"I'm gonna crack you like a lobster, you know that?": "I'm gonna crack you like a lobster, you know that?";
"We split up here. Pierce, you're with me.": "We split up here. Pierce, you're with me.";
"Come on back, I wanna see how relaxed you gotta be.": "Come on back, I wanna see how relaxed you gotta be.";
"This is what exactly?": "This is what exactly?";
"Conduwhazzit?": "Conduwhazzit?";
"Y'know I still dream about that church sometimes...": "Y'know I still dream about that church sometimes...";
"Been a while, Shaundi.": "Been a while, Shaundi.";
"Thanks for the program.": "Thanks for the program.";
"Are you there, Matt?": "Are you there, Matt?";
"Whoa, hang in there, Joe.": "Whoa, hang in there, Joe.";
"What is this place?": "What is this place?";
"Fuck! I...": "Fuck! I...";
"The shield surrounding the power cell must be disabled, in case you could not figure that out yourself.": "The shield surrounding the power cell must be disabled, in case you could not figure that out yourself.";
"Actually, I meant defending shit while Kinzie works her hacking magic.": "Actually, I meant defending shit while Kinzie works her hacking magic.";
"Can you save the right fighting for after we find Johnny?": "Can you save the right fighting for after we find Johnny?";
"Guess I'd better follow the bouncing ball.": "Guess I'd better follow the bouncing ball.";
"So, is it gonna do tricks or something?": "So, is it gonna do tricks or something?";
"What?  Why not?  You have King so just--": "What?  Why not?  You have King so just--";
"Oh Matt. Sweet, sweet Matt.": "Oh Matt. Sweet, sweet Matt.";
"Time for you to die, mate.": "Time for you to die, mate.";
"DAMMIT.": "DAMMIT.";
"Nothing. What if it's not here?": "Nothing. What if it's not here?";
"But figuring out how we couldn've made the Key fly is worth our time?": "But figuring out how we couldn've made the Key fly is worth our time?";
"Guess I don't have a choice...": "Guess I don't have a choice...";
"There.": "好了。";
"So have you found Gat?": "So have you found Gat?";
"Kinzie explained to me that Shaundi had a doppelganger who hated pants and was very friendly.": "Kinzie explained to me that Shaundi had a doppelganger who hated pants and was very friendly.";
"Then what'd you have in mind?": "Then what'd you have in mind?";
"You're right, it did.  Nice job, Pierce.": "You're right, it did.  Nice job, Pierce.";
"CID's gonna be helping me and you're worried about ME being nice?": "CID's gonna be helping me and you're worried about ME being nice?";
"Shaundi, those are bombs.": "Shaundi, those are bombs.";
"STAGE ONE - COMPLETE!": "STAGE ONE - COMPLETE!";
"One of the rogue Zin programs is messing with my data collection.  Kill the program for me please.": "One of the rogue Zin programs is messing with my data collection.  Kill the program for me please.";
"Are you done, CID?": "Are you done, CID?";
"I'm there.": "I'm there.";
"DELETE": "删除";
"I'm coming, Shaundi!": "I'm coming, Shaundi!";
"Yes!  What a rush!": "Yes!  What a rush!";
"Not bad, huh?": "Not bad, huh?";
"Stay close Matt, let's get you outta here...": "Stay close Matt, let's get you outta here...";
"I had no idea Pierce had issues like this.": "I had no idea Pierce had issues like this.";
"If by pet store you mean \\"murder show\\", then yes.": "If by pet store you mean \\"murder show\\", then yes.";
"This one's for Uncle Sam!": "This one's for Uncle Sam!";
"Thank god.  Let's get this thing and go.": "Thank god.  Let's get this thing and go.";
"And you must be the protégé I've heard so much about.": "And you must be the protégé I've heard so much about.";
"I see a trail of dead aliens, Kinzie. I think I know which way Johnny went.": "I see a trail of dead aliens, Kinzie. I think I know which way Johnny went.";
"Kinzie! Let's get the fuck out of here.": "Kinzie! Let's get the fuck out of here.";
"But you are me, don't you see.  We're the same!": "But you are me, don't you see.  We're the same!";
"Would you look at that...": "Would you look at that...";
"Wait... Shaundi?": "Wait... Shaundi?";
"Okay, I'm going in. Cover me then get back to the ship.": "Okay, I'm going in. Cover me then get back to the ship.";
"Fuck you, Zinyak.": "Fuck you, Zinyak.";
"Good, only a few guards.  Easy enough.": "Good, only a few guards.  Easy enough.";
"Dude.": "Dude.";
"Now that's what I'm fucking talking about. The dream team is back.": "Now that's what I'm fucking talking about. The dream team is back.";
"I know, man. I know.": "I know, man. I know.";
"Times have changed, King.  Kinzie, is Tony on his way yet?": "Times have changed, King.  Kinzie, is Tony on his way yet?";
"Right then. Let's take the stick to his Zinyak character, yeah?": "Right then. Let's take the stick to his Zinyak character, yeah?";
"Zinyak's gonna answer for what he's done...and I'm gonna enjoy evey second...": "Zinyak's gonna answer for what he's done...and I'm gonna enjoy evey second...";
"Maero...": "Maero...";
"I'll take out the C.I.D.s!": "I'll take out the C.I.D.s!";
"Kinzie, your President wants you to do this.": "Kinzie, your President wants you to do this.";
"I want to make sure you are paid for your aid in keeping my rift open, and to ensure you see that I am willing to help your cause.": "I want to make sure you are paid for your aid in keeping my rift open, and to ensure you see that I am willing to help your cause.";
"You got nowhere to run, Tanya.": "You got nowhere to run, Tanya.";
"Having some technical problems?": "Having some technical problems?";
"AAAAAAAAAAAAAAAAAAAAAAARGH!": "AAAAAAAAAAAAAAAAAAAAAAARGH!";
"Powers will take the shield down.": "Powers will take the shield down.";
"Get to the ship!": "Get to the ship!";
"What's going to happen when this whole place crashes?": "What's going to happen when this whole place crashes?";
"So what do we do about that?": "So what do we do about that?";
"Why can't I just take everyone?  That'd be easier.": "Why can't I just take everyone?  That'd be easier.";
"WOAH!": "WOAH!";
"Well he's the one who ain't here.  He just sent you to do his dirty work.": "Well he's the one who ain't here.  He just sent you to do his dirty work.";
"So how's this \\"date\\" going to work...": "So how's this \\"date\\" going to work...";
"This can't be good...": "This can't be good...";
