# TODO: Translate to Simplified Chinese
# Source: static_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 760

"HASH_95863700": "升级根据地"
"HASH_AAE544DD": "你确定要穿上这套装扮吗？"
"HASH_CB5B475D": "UNLOCK DFA"
"HASH_E58A3A5D": "小雨"
"HASH_342D2BDD": "I need Johnny Gat"
"HASH_240F88DE": "自动存档"
"HASH_B8F19CDE": "迷你小不点"
"HASH_BB02CBDE": "Big Head Mode."
"HASH_FE266D5F": "特殊武器"
"HASH_372F3ADF": "桑切斯"
"HASH_0F5CBD5F": "富兰克林"
"HASH_1C85BD5F": "<TBD>"
"HASH_2F5D725F": "I need CID"
"HASH_E6F38CDF": "Help"
"HASH_82C48A60": "轮毂样式"
"HASH_01679460": "武器店"
"HASH_8C281CE1": "帮派"
"HASH_CA4AAE61": "金色"
"HASH_F23929E1": "挠痒"
"HASH_70A2F2E1": "删除装扮"
"HASH_617AFA62": "标准扁平"
"HASH_C9363E62": "高轮廓"
"HASH_830A1AE2": "You now get a piece of the action at this store and will receive a [format][color:highlight]{GAME_CASH}{0}/hour[/format] payout to your crib stash as well as discounts on all items."
"HASH_F87CCCE3": "珍珠"
"HASH_C00F4B63": "滚烫"
"HASH_12A74763": "立即给予你现金。"
"HASH_91293D63": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"HASH_0CAE67E4": "醉酒路人"
"HASH_070A7D64": "Display Settings"
"HASH_DF199A64": "Options"
"HASH_79290164": "Extras"
"HASH_3975E7E5": "力量 {0}%%%%"
"HASH_AE266B65": "脏污"
"HASH_9655ECE5": "湿润"
"HASH_C4559AE5": "死者全都上了天堂。"
"HASH_7FFADD65": "Digital Manual"
"HASH_8D532BE6": "关卡"
"HASH_4ACA7FE6": "船坞"
"HASH_8C417966": "ALL SUPER UPGRADES"
"HASH_8854E166": "Load"
"HASH_8D1488E6": "NEXT"
"STAT_BIG_AIR_LONGEST_JUMP": "大腾空：最长跳跃"
"HASH_9C1009E7": "驴"
"HASH_A4638E67": "愤怒"
"HASH_2409D767": "碰瓷索赔"
"HASH_8F2847E7": "选择"
"STAT_MISSION_SUCCESS_RATE": "任务成功率"
"STAT_MAYHEM_DAMAGE_DONE": "大破坏：造成伤害"
"HASH_D205D0E8": "运动风"
"HASH_CB046869": "Switch to Explosion Blast"
"HASH_395DED6B": "VIRUS INJECTION"
"HASH_34CE0CEC": "后轴"
"HASH_A9B0486C": "腿部纹身"
"HASH_12AF5C6C": "INSTANT WARDEN"
"HASH_13420F6C": "切换角色模型"
"HASH_3E003B6D": "LV REQ {0}"
"HASH_026216ED": "手腕"
"HASH_66FFE16D": "滑溜"
"HASH_1264FA6D": "局域网"
"HASH_05A1B26D": "Operator stay on the line"
"HASH_A5DA766D": "Load Game"
"HASH_E4F559ED": "背后"
"HASH_FF6F95EE": "单人游戏"
"HASH_EEF8D2EE": "Quit"
"HASH_2A71726F": "VIRUS INJECTION"
"HASH_6CBA046F": "脏污"
"HASH_0312DDEF": "I need Backup"
"HASH_20BBF76F": "Switch to Freeze Buff"
"HASH_6A79A9EF": "Schemes"
"HASH_0798EEEF": "Show Map"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "嘲讽平民总数"
"STAT_ACTIVITY_CASH_EARNED": "活动赚取现金"
"HASH_9C686EF0": "为你的套装输入名称"
"HASH_15C35870": "蝴蝶"
"HASH_D77925F0": "关"
"HASH_5965D9F0": "I need Donnie"
"HASH_A0938170": "Switch to Lightning Buff"
"HASH_91055B70": "Switch to Fire Buff"
"STAT_ARRESTS": "被捕次数"
"HASH_69FA0D71": "AVAILABLE [image:ui_icon_cluster] {0}"
"HASH_AED5D2F1": "Disables elemental super powers."
"HASH_DA234AF1": "I need Gat"
"HASH_3FE8D271": "Load"
"STAT_DEATHS": "死亡次数"
"HASH_CA92EB72": "印象刺青"
"HASH_27F53AF2": "蜥蜴"
"HASH_848F2F72": "We fixed the glitch."
"HASH_1FA4EC72": "INTERROGATION"
"HASH_700D4DF2": "Display Options"
"HASH_12AE3673": "维修"
"HASH_A5B7CD73": "真的要退出吗？\n（未保存的进度将会丢失。）"
"HASH_3B48A1F3": "把这辆载具送进你的车库。"
"HASH_96A887F3": "Show the Hub"
"HASH_6F2F8B74": "切换到衣橱"
"HASH_71AF9D74": "淋浴"
"HASH_746FE2F4": "Upgrades"
"HASH_F07E37F4": "Map"
"HASH_C1115BF5": "轮毂 #{0}"
"HASH_086DDE75": "没人爱我"
"HASH_DAB068F5": "REPAIR FOR {GAME_CASH}{0}"
"HASH_0C1844F5": "顺时针"
"HASH_2095CEF5": "GIVE ALIEN UFO"
"HASH_F00EE8F5": "Switch to Telekinesis"
"HASH_395B8175": "Exit"
"HASH_611DCEF6": "COST [image:ui_icon_cluster] {0}"
"HASH_63609576": "VIRUS INJECTION"
"HASH_4399FFF6": "响尾蛇"
"HASH_1B2743F6": "穿上装扮"
"HASH_175CD877": "VIRUS INJECTION"
"Crib_SaintsHQ": "圣徒藏身处"
"HASH_77E78B77": "皇家"
"HASH_B46D9EF7": "CLEAR NOTORIETY"
"HASH_F92C18F7": "无限冲刺"
"STAT_STREAKING_TOTAL_TIME": "天体总时长"
"STAT_FAVORITE_TRANSPORTATION": "最常用的交通方式"
"HASH_B20C0B78": "VIRUS INJECTION"
"HASH_10794BF8": "现金不足"
"HASH_94D37F78": "揉捏"
"HASH_1E158F78": "Unlocks the Death From Above super power."
"HASH_663AA5F8": "Unlocks Super Stomp ability."
"HASH_2BA25178": "Switch to Ice Blast"
"HASH_8868A578": "Single Player Cmapaign"
"HASH_3FD751F8": "Easy"
"HASH_F9C1A6F8": "Cash"
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTAL ALIENS TAUNTED"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "称赞他人总数"
"HASH_64C687F9": "选择建筑"
"HASH_2A3759F9": "XP +{0}"
"HASH_24E956F9": "锈针纹身"
"HASH_E964A6F9": "疯狂"
"HASH_73A9AEF9": "自由模式"
"HASH_474594F9": "大雨"
"HASH_131300F9": "邪恶之车"
"STATS_NONE": "无"
"HASH_7304657A": "第三街圣徒"
"HASH_28AC92FA": "滚动列表"
"STAT_PEOPLE_RUN_OVER": "碾过的行人"
"HASH_446634FB": "免费"
"HASH_1B94197B": "消瘦 {0}%%%%"
"HASH_1F6E7B7B": "不可用"
"HASH_7F36807B": "取回"
"HASH_2AEF3DFB": "手势"
"HASH_DB52C47B": "复仇"
"STAT_COOP_MISSIONS_COMPLETED": "双人合作：任务完成数"
"HASH_E82DF37C": "COLLECTION INTERFACE"
"HASH_944872FC": "无"
"HASH_BF1DA57C": "假装一下"
"HASH_533048FC": "忍者"
"HASH_308A59FC": "邪恶之车 2"
"HASH_640871FC": "Credits"
"STATS_DISTANCE_METERS": "%0.2fm"
"HASH_CC4EFA7D": "VIRUS INJECTION"
"HASH_485BD47D": "你没有任何武器。"
"HASH_8D0863FD": "臭烘烘"
"HASH_66BEFFFD": "Switch to Explosion Telekinesis"
"HASH_2748A37E": "前轴"
"HASH_5F03C9FE": "购买武器"
"HASH_4B89D17E": "改装载具"
"HASH_958D56FE": "皮革与蕾丝"
"HASH_D49E5D7E": "取消"
"HASH_1CD829FE": "武器"
"HASH_367D857E": "GIVE ALIEN HOVERCAR"
"HASH_0EECD9FF": "Do you wish to purchase this wheel setup for {GAME_CASH}{0}?"
"HASH_1CC38DFF": "VIRUS INJECTION"
"HASH_938A85FF": "You cannot change elements at this time."
"HASH_BF3E017F": "潜水"
"HASH_4AA2AEFF": "晴空"
"HASH_AA9A0F7F": "Difficulty"
