# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_50E3CE76": "重金属戒指"
"HASH_49CCAA76": "猩红女院长"
"CUST_VARIANT_01_DEFAULT": "变体 1"
"HASH_8D7C8277": "老太摩托靴"
"HASH_2E6D1678": "Kills with this weapon drop bonus health pickups."
"HASH_B5B2C478": "SAINTSBLOCK"
"HASH_0C4B7078": "灯罩"
"HASH_850AD478": "钻石耳钉"
"HASH_3C246878": "食肉丧尸"
"HASH_98620278": "摩托辣妹夹克"
"cf_ubdy_turtleneck": "DRAPED TURTLENECK"
"HASH_AE2EC878": "ANARCHY SKULL"
"HASH_615F6879": "Shots now send their target flying."
"Level_2": "第 2 关"
"HASH_0F39D479": "强尼·盖特吉祥物"
"HASH_8BF4C479": "真爱耳钉"
"HASH_B3492E79": "爱2锐舞珠"
"HASH_0B75D479": "虚张声势"
"HASH_C0C3D279": "BAPHOMET"
"HASH_C5C6F879": "快乐彩虹"
"HASH_F1C59879": "黄绿 4"
"HASH_989A027A": "女性 2"
"HASH_B4113C7A": "内饰"
"HASH_2F74EC7A": "喷漆 4"
"HASH_DEC17A7A": "派对时光手链"
"HASH_9B6CD07A": "SIMPLE LAYERS"
"HASH_2E3DFC7A": "蓝色"
"HASH_7975767B": "Nothing says you care like a hail of silver bullets."
"HASH_B830587B": "There are no clean getaways"
"HASH_D1A3807B": "磨砂蓝"
"HASH_7F36C67B": "仇恨熔炉"
"HASH_4BFA127B": "黄橙 1"
"HASH_F55DCA7C": "后备箱"
"HASH_0A750E7C": "啦啦队长"
"HASH_C256967C": "弧形低纹"
"HASH_475C8C7C": "面部"
"HASH_ABD2107D": "The rich-kid's spud gun."
"HASH_AE501A7D": "MAGNA 10mm"
"HASH_AF880E7D": "颧骨大小"
"HASH_5123A87D": "三叶草奶昔"
"cf_dlc_aliens_hat": "精神控制头盔"
"HASH_0627AE7D": "ASPIRATION"
"HASH_C580247D": "浓密男眉"
"HASH_D4CCDA7E": "璞玉"
"HASH_0353D27E": "蒸汽朋克时尚"
"HASH_2313CA7E": "AMAZON BRACERS"
"HASH_915A5E7E": "哥特之夜"
"HASH_3A0D327E": "橙色 6"
"HASH_0AFC427F": "Silent but deadly."
"HASH_FED0607F": "上眼睑高度"
"HASH_55F60C7F": "BOONE GOES THE DYNAMITE"
"HASH_E1A4EC7F": "星际头盔"
"HASH_42A6D27F": "圣徒奢华手表"
"HASH_6FEB5E7F": "紧身短裤"
"cm_ubdy_bballjersey": "SAINTS JERSEY"
"cf_hat_knitbrim": "BRIMMED KNIT HAT"
"HASH_6E7C5A7F": "盛装打扮"
"HASH_09CD5A80": "BIG DIPPER"
"HASH_FF6AE080": "耳朵高低"
"HASH_80C8C680": "不锈钢"
"HASH_0F04B880": "迪斯科狂热"
"HASH_087E5480": "红橙 1"
"HASH_DFE63880": "蓝色 7"
"HASH_B624C681": "贴花 7"
"HASH_3BCC0881": "YELLOW METAL"
"HASH_85BB8081": "BLUE METAL"
"HASH_B6AF7C81": "都市乐福鞋"
"HASH_CD3C2882": "\\"There's gold in them thar holes!\\""
"HASH_2A8BEE82": "脸颊高低"
"HASH_A6587083": "An all-time badass classic."
"HASH_D8FA6483": "油箱"
"HASH_AC7A5C83": "黑色"
"HASH_6119C484": "改装"
"HASH_72B59684": "车身颜色"
"HASH_49EF3284": "都市猎装直领款"
"HASH_37DFE884": "艺术之花"
"HASH_7CB2C484": "大伤疤 2"
"HASH_600ACA84": "绿色 6"
"HASH_8049C885": "Saints? Scots? Why not both?"
"HASH_E562C085": "体型"
"HASH_45522885": "THE WEEKENDER"
"HASH_7DB87885": "深灰"
"HASH_E6734C85": "太空公主上衣"
"HASH_FB667885": "KARATE PANTS"
"HASH_EA237885": "GENERIC HERO GLOVES"
"HASH_4C4FA285": "TO THE DEATH"
"HASH_E783D686": "PURPLE INFERNO"
"HASH_3A6ACC86": "赛博帮特勤"
"HASH_EB9EB086": "清爽短发"
"HASH_E8F2F286": "曼巴高跟鞋"
"cm_hair_shortwavy-01": "SHORT AND WAVY"
"cf_hair_longtextured_01": "LONG AND LAYERED"
"HASH_320CC087": "THE CAPTAIN"
"HASH_33D09A87": "去你的"
"HASH_95096887": "钛"
"HASH_BED7D087": "亮日橙"
"HASH_D89DDC87": "蓝绿 1"
"HASH_8FF1D688": "选择此预设将放弃你当前的设置。\n确定要这么做吗？"
"HASH_09E9C288": "太空公主打底裤"
"HASH_255E0089": "Allows the weapon to fire more before its charge is depleted"
"HASH_AA682C89": "Zinyak's favorite color"
"HASH_B8406E89": "上胸"
"HASH_2A840E89": "束缚裤"
"HASH_77C4C689": "BLOCK BOOTS"
"HASH_4AE55089": "深蓝"
"HASH_4952368A": "排气管口"
"HASH_D7BF348A": "染色 40%%"
"HASH_C98C548A": "红色 4"
"HASH_BBBE3A8B": "Launched frogs attempt to attach to nearby enemies with their tongue"
"HASH_076CF48B": "朦胧日灰"
"HASH_3BCF5E8B": "蒸汽朋克少女束腰"
"HASH_3167568B": "虹彩 4"
"HASH_42CB008B": "疣 1"
"HASH_408BAA8C": "战斗时尚靴"
"cm_ubdy_sweatsaints": "SAINTS WINGS SWEATSHIRT"
"cf_suit_jumpsuit02": "SEXY SPACESUIT"
"HASH_242ADC8C": "DEMENTED MIME"
"HASH_3002668D": "Terminate your enemies."
"HASH_75DA288D": "LASER RAZOR"
"HASH_56E0B08D": "胡萝卜"
"HASH_4DE1088D": "蓝宝石"
"HASH_E388AA8D": "大红"
"HASH_FAC1BA8D": "商务休闲裤"
"cm_ubdy_sltop": "MARY ANN"
"HASH_DBAC0E8E": "喷漆 2"
"HASH_282D348E": "内饰 2"
"HASH_971EB68E": "A NEW JOURNEY"
"HASH_D861BE8F": "越线"
"HASH_8523808F": "YOU OLD SAILOR YOU"
"HASH_FD86E28F": "确定要放弃你的更改吗？"
"HASH_9255208F": "侦探帽"
"cm_lp35k_head_m_bonesmask": "骷髅面具"
"HASH_B5102290": "The weapon fires rockets more often"
"HASH_D5EA9490": "RENEGADE PISTOL"
"HASH_F6FF8090": "鼻尖深度"
"HASH_B19C7A90": "冲刺手套"
"cm_suit_f_warprc": "WARRIOR PRINCESS ARMOR"
"cm_lp35i_ubdy_f_strapsshirt": "APOC SHIRT"
"HASH_0599A091": "下颌深度"
"HASH_771F2E91": "十足野兽"
"HASH_4A72AA91": "瞒天过海"
"HASH_2CBFCE91": "紫罗兰 8"
"HASH_F6310492": "沙漠迷彩"
"HASH_F5E15492": "鲨咬耳环"
"HASH_857F7C93": "TAK-10 STREETSWEEPER"
"HASH_299F1493": "鼻孔宽度"
"HASH_71080293": "整片胸膛"
"HASH_FFD8D493": "突突射击 T 恤"
"HASH_4A8CCC94": "银"
"HASH_5B2E3E94": "淡蓝染"
"HASH_E4E56E94": "蜘蛛咬痕"
"HASH_773FBC95": "天线"
"HASH_08520695": "超紧身夹克"
"HASH_9D5C5695": "圣徒辫"
"cf_hand_handwarmers": "ARM WARMERS"
"HASH_23471895": "PATRIOTIC STRIPES"
"HASH_C8107E96": "Mines now have triple the explosive charge loaded."
"HASH_03A6AA96": "GOLD-PLATED"
"HASH_824E4496": "SIMPLE MAN"
"female_bodybuilder": "女·健美"
"HASH_55E46496": "体育课裤"
"cf_hair_vintageshort-01": "VINTAGE SHORT WAVES"
"HASH_4BD91297": "SHOOTER SUZIE"
"HASH_23C63097": "饥渴艺术家"
"HASH_E3BF8C97": "圣徒宽松裤"
"HASH_07849098": "该分类已达到可存放物品的数量上限。"
"HASH_B1490298": "贴花 3"
"Warrior Princess": "战士公主"
"cm_ubdy_pretendtee": "LET'S PRETEND TEE"
"HASH_C905A499": "Combining two great pastimes: baseball AND violence!"
"HASH_00202299": "兄弟短裤"
"HASH_54247699": "派对高跟鞋"
"cf_hair_longstraight-05": "PARTED CURTAIN"
"HASH_0847F299": "亮橙"
"HASH_0F139099": "红橙 5"
"HASH_D88BFC99": "蓝色 3"
"HASH_501B1499": "脸颊"
"HASH_7D5B869A": "DEEP SILVER"
"HASH_B4FBF29B": "叛逆少年靴"
"cm_dlc_wwolf_foot_m": "狼人足"
"HASH_423FEC9C": "BEEP BOP BOOP"
"HASH_0F52149C": "随机"
"HASH_EAF60C9C": "尾灯"
"HASH_0593009C": "前轮辋"
"HASH_B1CCB49C": "后保险杠"
"HASH_1890D29C": "巴黎晚宴"
"HASH_3DBBB29C": "南方佳人"
"HASH_2BAC1E9D": "Shoot first, ask questions later."
"HASH_CD0BBA9D": "下颌"
"HASH_D7F2B29D": "深海蓝我"
"HASH_E72B0C9D": "汪汪"
"cm_lp35n_suit_m_block": "CRAFT MINER"
"HASH_7BDF009D": "小伤疤 2"
"HASH_67670E9D": "绿色 2"
"HASH_A6ABE89E": "It's black. Also, gold."
"HASH_B424289E": "鼻坡宽度"
"HASH_E4A6209E": "脸颊深度"
"HASH_1891A09E": "颧骨间距"
"HASH_DFE6109E": "GENTLEMANS TUXEDO"
"HASH_88DB669E": "黑粉屏蔽镜"
"HASH_BFC5989E": "警察"
"HASH_DFF0189E": "蓝绿 5"
"HASH_71C81E9E": "右前臂"
"HASH_BC8D609F": "COOL CUSTOMER"
"HASH_A04E789F": "滑板头"
"HASH_18BAB69F": "都市狩猎高领衫"
"cm_dlc_wwolf_suit_m_suit": "狼人"
"HASH_B4E7D4A1": "喜悦"
"HASH_34F16CA1": "硬妹"
"HASH_1FA32EA1": "CARDINAL ROBE"
"HASH_C03A18A1": "红色 8"
"HASH_AF6218A2": "面容年龄"
"HASH_A5A200A2": "太空背包"
"HASH_174F90A2": "机车辣妹"
"cm_ubdy_puffycoat01": "PUFFER JACKET"
"HASH_BB6C2AA2": "埃及女神"
"HASH_C2E448A2": "黄色 3"
"HASH_6B61CAA3": "DEEP SILVER"
"HASH_237B3EA3": "Ready to rumble in the jungle"
"HASH_19D1BCA3": "丧尸面具 1"
"HASH_79B458A3": "现代男式礼服衬衫"
"HASH_574D88A3": "骑士铠甲"
"HASH_AC5ADCA3": "埃及公主"
"HASH_CD0864A3": "吉祥物"
"HASH_B672D8A4": "Upgrades the gun to fully automatic trigger action."
"HASH_437866A4": "大兔子"
"HASH_303CC2A4": "SKELETON BOOTS"
"HASH_3930D4A5": "Nail 'em."
"HASH_2298E6A5": "喷漆 2"
"HASH_C8F68EA5": "盖特摇头像"
"HASH_F35F86A5": "老大项圈"
"HASH_4CA7AEA5": "欢乐时光靴！"
"HASH_21C4EAA5": "粗犷经典"
"HASH_F104C8A5": "甩肉"
"HASH_33BC08A6": "DEACON 12-GAUGE"
"HASH_90FC4AA6": "BOUNCE RIFLE"
"HASH_661D4EA6": "嗓音"
"HASH_096C0AA6": "老汉软鞋"
"cm_lp35i_hand_f_stpgloves": "APOC GLOVES"
"HASH_9347ACA7": "Kills with this weapon grant a small amount of health."
"HASH_D8EBAEA7": "机械色"
"HASH_CAE32EA7": "虹彩漆"
"HASH_7929E4A7": "咖啡奶精棕"
"HASH_13A68AA7": "ZERO SAINTS THIRTY HELMET"
"HASH_B57872A7": "上城女孩"
"HASH_17F0FAA7": "颏须"
"HASH_24C2D6A8": "GI SNIPER "
"HASH_0096E0A8": "挺胸"
"HASH_ECA1C6A8": "白色"
"HASH_5A8884A9": "ARCTIC CAMO"
"HASH_83D806A9": "武士 "
"HASH_A1EE10A9": "新科尔文"
"HASH_6705E0AA": "Aiming? Who needs aiming?"
"DIRT": "泥土"
"HASH_7BD14EAA": "BRAIN BUCKET"
"HASH_33DBDAAA": "坏小子"
"cf_hair_wavysidedo_01": "WAVY SIDE DO"
"HASH_BE5524AA": "街头圣徒"
"HASH_06B2F4AB": "欢愉与痛苦"
"HASH_2DEDF6AB": "现代夹克配毛衣"
"HASH_F6288AAB": "和平烟斗凉鞋"
"HASH_06AC92AB": "蜂后"
"HASH_CCA78AAC": "强化车架"
"HASH_8F9E78AC": "emo 板鞋"
"HASH_A0FF98AC": "坏坏手套"
"HASH_3D4796AD": "Decreases the time it takes to reload the weapon"
"HASH_9E5DA2AD": "LIL' CROAKER"
"HASH_03FBACAD": "轮辋套组 11"
"HASH_D4AEC6AD": "坏坏时光束腰"
"HASH_78AF8CAE": "Wrong in so many ways"
"HASH_964876AE": "车窗罩"
"HASH_F82C78AE": "引擎盖装饰"
"HASH_5E349EAE": "帮派皮上衣"
"HASH_A94A64AE": "亮靛"
"HASH_2E933EAE": "DRACO"
"HASH_E783B8AE": "蓝紫 6"
"HASH_FF72B2AF": "面部整体"
"HASH_E9F084AF": "合唱女郎"
"HASH_6DE96CAF": "正午帽"
"HASH_3E69A4AF": "独角兽之梦"
"HASH_4744E4AF": "夸张胡"
"HASH_6678DEB0": "鼻坡深度"
"HASH_6C8A70B0": "开心 "
"HASH_4C3C6CB0": "虫眼"
"cm_eyes_slglasses": "MONO GLASSES"
"HASH_332676B0": "左前臂"
"HASH_1E676AB1": "高加索 2"
"HASH_DADD00B1": "MODERN SOLDIER HELMET"
"HASH_93D794B2": "POTATO GUN"
"HASH_088C36B2": "爱痕"
"HASH_06A5DCB2": "红橙 9"
"HASH_429494B2": "整个左臂"
"HASH_1703EEB3": "亚洲 3"
"HASH_C86D46B3": "液压系统"
"HASH_7111E4B3": "摇杆成瘾者·火辣圣徒"
"HASH_7B9A24B3": "钢埠斗士手套"
"HASH_1C07CCB3": "狐狸精束腰"
"HASH_62F11CB3": "坏女孩高跟鞋"
"HASH_B938E0B3": "美丽使者"
"HASH_7AF77CB4": "淡青染"
"HASH_049668B4": "轮辋套组 15"
"female_average": "女性标准"
"cm_lp35p_eyes_m_3d": "3D"
"HASH_F449A4B4": "亮红"
"HASH_CF2788B5": "Look classy while you're gunning them down"
"HASH_681E08B5": "下唇中部高低"
"cm_suit_malesim": "SIM SUIT"
"HASH_D64654B5": "蓝绿 9"
"HASH_EE9D40B6": "捶胸"
"HASH_6B11AEB6": "邻居夹克与马甲"
"HASH_402920B6": "铅笔藏须"
"HASH_D7CF4CB7": "DIGITAL CAMO"
"HASH_9B4A70B7": "棉花糖背心"
"HASH_471668B7": "NINJA2 PANTS"
"50s Lady": "50'S LADY"
"HASH_60E724B7": "酒窝"
"HASH_E0EE7CB7": "蓝紫 2"
"HASH_7D0A86B8": "Kills with this weapon will grant bonus XP."
"HASH_8E028CB8": "CHARGE TIME"
"HASH_20D572B8": "SILVER STUNNER"
"HASH_B449C4B8": "美甲"
"HASH_24C3ACB9": "Allows the weapon to fire more before overheating"
"HASH_41D828B9": "GHOSTLY SKULL"
"HASH_1A3DFCB9": "Aim straight, spud."
"cf_foot_80sshortboots": "SEQUINED BOOTS"
"HASH_141114BA": "好莱坞范"
"HASH_250982BA": "紫罗兰 4"
"HASH_1827C2BB": "EXPLOSIVE DAMAGE"
"HASH_E0F67ABB": "SPIRIT OF '76"
"HASH_E8A1F0BB": "BLUE CAMO"
"HASH_C620D4BB": "暴躁 "
"player_lips_gloss": "唇彩"
"HASH_BC01EEBB": "融入血脉"
"HASH_9D162CBB": "破鼻"
"HASH_C5898CBB": "黄色 7"
"HASH_05400CBC": "饰条 4"
"HASH_F6690CBC": "召之即来"
"HASH_FBC3E2BD": "鼻孔深度"
"HASH_18575CBD": "SKELETON SHIRT"
"cf_hair_ponytail-01": "VINTAGE STYLE PONYTAIL"
"HASH_A53F16BE": "Z9 HANDCANNON"
"HASH_24A376BE": "鼻尖宽度"
"HASH_072FF2BE": "车身套件"
"HASH_B215B6BE": "艺术学校"
"cf_hair_longstraight_01": "DEMURE LONG STYLE"
"HASH_109D3EBE": "火星人"
"HASH_2247BCBF": "GUARDSMAN AR"
"HASH_75B5B8BF": "淡红染"
"HASH_4B06D0BF": "鸢尾花标志"
"HASH_466C4ABF": "T台飞行墨镜"
"HASH_0215B2BF": "NINJA2 MASK"
"HASH_7B1C9EBF": "HERO LEGS"
"cf_hair_vintageponytail": "VINTAGE CHEERLEADER"
"HASH_09CCEABF": "右手腕"
"HASH_8E670EC0": "The max level for this upgrade has been reached."
"HASH_B93618C0": "内饰色"
"HASH_ECF8FCC0": "选项 1"
"HASH_E4E35EC1": "ONYX BLACK"
"HASH_0CAE60C1": "An alien soldier's best friend"
"HASH_765BD4C1": "未来战士护甲"
"HASH_E35A94C1": "CASUAL CARGOS"
"HASH_BCE7EAC1": "我们信仰寒钢"
"HASH_2B3ABEC2": "眉中高低"
"HASH_3C8846C2": "悲伤"
"HASH_FBE514C2": "老爹鞋"
"HASH_994324C2": "悠闲鞋"
"HASH_1FBE24C2": "KARATE SHIRT"
"HASH_D3E90CC2": "航海星"
"HASH_AE25A8C2": "无"
"HASH_6FB162C2": "右腿"
"HASH_00EB98C3": "Saints 1, Zin 0"
"HASH_015304C3": "For when you aim to misbehave."
"HASH_28A498C3": "男性默认"
"HASH_DBF616C3": "欢乐时光！丁字裤"
"HASH_858D86C3": "MOCAP SUIT"
"cm_mask_fleur": "FLEUR DE FACE"
"HASH_130062C3": "TRIBAL SKULL"
"HASH_EFEB22C3": "尼罗河女王"
"HASH_A18F14C3": "漂白金发"
"HASH_579A68C4": "OVERHEAT LEVEL"
"HASH_1BD3B6C4": "It really, really sucks."
"HASH_DF86AAC4": "You know you want a laser shotgun."
"HASH_4CCA0CC4": "性别"
"HASH_284438C4": "BLOCK HANDS"
"cm_hair_styledfade": "STYLED FADE"
"Chin": "下巴"
"HASH_A6D940C4": "四骷髅"
"HASH_8F74E4C4": "黄绿 9"
"HASH_21F03CC5": "FRECKLE BITCH'S"
"HASH_102322C5": "GENKI"
"HASH_72CA40C5": "拉美裔 1"
"HASH_D8F766C5": "金色"
"HASH_0F7F1EC5": "FLIGHT SUIT"
"HASH_ACFD5CC5": "女巫长袍"
"HASH_9E7F2AC5": "全遮掩"
"HASH_78A0DCC6": "紫色"
"HASH_DF00D2C6": "面部"
"HASH_F85982C6": "轮辋色"
"HASH_B36EB8C6": "深粉"
"HASH_5EC090C6": "蝴蝶"
"HASH_5D79D6C7": "贴花 3"
"cm_ubdy_jeanvest": "DENIM VEST"
"HASH_E2840AC7": "RAINBOW SOCKS AND SHOES"
"HASH_A2B93CC7": "总裁胡"
"HASH_0D35B6C7": "棕色 1"
"HASH_213B52C8": "圣徒紫"
"HASH_B019BAC8": "Old-school lethality"
"HASH_C93162C8": "鼻坡高低"
"HASH_27D1C6C8": "时尚亮相"
"HASH_39CBD4C8": "小心形套装"
"HASH_AAC99CC8": "暗影之戒"
"cm_eyes_squaretrendy": "EYE SHIELD"
"HASH_AC5F00C9": "CLIP SIZE"
"HASH_8A69CAC9": "Once you snipe silver you'll never go back."
"HASH_E50BF8C9": "海泡青"
"HASH_36F6E0C9": "GOLDDIGGER"
"cm_ubdy_bountyhunter": "RANSOM COLLECTOR ARMOR"
"HASH_48BC6AC9": "闪亮至上"
"cm_suit_f_space": "太空公主"
"cm_foot_president_shoes": "PRESIDENTIAL SHOES"
"HASH_FF7ADCCA": "绝妙之夜"
"HASH_F44794CB": "独特体验"
"HASH_DF88A2CB": "钢埠英雄衬衫"
"HASH_CB7B1ACB": "冷拳"
"HASH_0B9954CC": "CHARGE CAPACITY"
"HASH_EACF0ECC": "呜噢尖叫"
"HASH_92B016CC": "摔跤手帮特勤面具"
"HASH_E52CB6CC": "摇滚衬衫"
"cm_lp35q_hat_vr": "VR"
"HASH_03DF98CC": "HERO BOOTS"
"HASH_A73BB8CC": "左眼罩"
"HASH_1CBE28CD": "右侧"
"HASH_B560C0CD": "现代敞领衬衫"
"HASH_98553ACD": "卡巴纳墨镜"
"HASH_B8D950CE": "无"
"HASH_32B662CE": "登场群像"
"HASH_02D488CE": "武装且危险"
"HASH_FC4FFECE": "痣 9"
"HASH_95712ACF": "You have the right to bear arms and lots of them."
"HASH_5091DACF": "车顶灯"
"HASH_F310DECF": "晨星帮士兵"
"HASH_7F1A40CF": "霓虹丛林"
"HASH_DD881CCF": "赛博帮士兵"
"HASH_F46654CF": "深橙"
"HASH_87E698D0": "Military-grade stopping power"
"HASH_E23956D0": "油亮亚裔 1"
"HASH_149E5ED1": "BLUE TENTACLE"
"HASH_20BC02D1": "口活"
"HASH_998AD0D1": "PURPLE METAL"
"HASH_B99B7CD1": "羔羊面具"
"HASH_145B6CD1": "摇滚帆布鞋"
"HASH_33DC38D2": "肥胖度"
"HASH_F32A50D2": "好兄弟"
"HASH_C40F60D2": "狂红"
"HASH_9B5E42D2": "VINTAGE STYLE"
"HASH_0C4A98D2": "嗜血耳环"
"HASH_C0F590D2": "火辣女牛仔"
"HASH_D8BA00D2": "潮鞋"
"HASH_BCC05ED2": "营级长裤"
"HASH_C2D764D2": "坏男孩衬衫"
"HASH_CC16DED2": "部落客"
"HASH_0CCAE6D3": "颅顶高度"
"HASH_0C70A6D3": "恨天高"
"HASH_3FD83ED3": "SCI-FI"
"cm_hair_mullet": "THE MULLET"
"HASH_7FF2C4D3": "忍者"
"HASH_F81718D3": "超模"
"HASH_57245AD3": "灰色 4"
"HASH_FEF7EAD4": "独立少年"
"HASH_955696D4": "迪斯科天后裤"
"HASH_022584D4": "火辣女牛仔"
"HASH_C1C23AD4": "ETERNAL LOVE"
"HASH_63D378D5": "AMMO CAPACITY"
"HASH_3AF16CD5": "WIREFRAME"
"HASH_3EA42AD5": "Street-tested, gang-approved"
"HASH_474A7AD5": "INFERNAL GUARD"
"HASH_B1910ED5": "抹胸上衣"
"HASH_A0567CD5": "顶部微妆"
"HASH_2F13C0D6": "MERCENARY LMG"
"HASH_787784D6": "示爱丁字裤"
"HASH_71E7B6D6": "圣徒光环"
"cf_suit_amazonoutfit": "AMAZONIAN BODY ARMOR"
"HASH_35DBA6D7": "太空匪徒"
"cf_ubdy_80slacetanktop": "LACY TANK TOP"
"HASH_DDB63ED8": "PINUP ANGEL"
"HASH_BB8A2ED8": "缅怀逝者"
"HASH_6EDBFCD9": "Electrified bullets stun their target."
"HASH_EB9538D9": "选项 5"
"HASH_F922E0D9": "军规漆"
"HASH_F38338D9": "轮辋套组 7"
"HASH_7EECC8D9": "赛博帮"
"cm_lp35p_eyes_m_morph": "MORPH"
"cm_lp35n_ubdy_m_blockhead": "BLOCK HEAD"
"cm_lp35h_suit_f_fbot": "FEMME BOT"
"cf_eyes_50sglasses": "CAT EYES"
"HASH_07865CDA": "Purple is the new orange."
"HASH_CA755EDA": "右眉钉与鼻钉"
"HASH_E886E6DA": "深色眼线"
"HASH_B38850DB": "ROCKET FREQUENCY"
"HASH_1CD26CDB": "Available in fine Hentai bookstores everywhere."
"HASH_81662CDB": "不透明度"
"HASH_FB0734DB": "眉骨"
"HASH_9A5346DB": "摩德风格"
"HASH_BB48D4DB": "偏分短发"
"HASH_D484C8DB": "泰迪熊"
"HASH_75A784DC": "拉美裔 5"
"HASH_813076DC": "HIP SKINNIES"
"HASH_83BF16DC": "蝴蝶夹"
"HASH_21A62EDC": "承诺项链"
"HASH_34F302DC": "口袋火箭裤"
"HASH_CAAFFADC": "MONK"
"cm_suit_m_falcon": "STEELPORT HERO SUIT"
"HASH_9912EEDC": "难眠"
"HASH_7F098EDD": "UNCLE SAM HAT"
"HASH_808654DD": "圣徒花链"
"HASH_0E99ACDD": "动漫"
"HASH_94C2E6DD": "叛逆凉鞋"
"HASH_B9B040DD": "SHANKAKU SHURIKEN"
"HASH_A1B484DD": "爱情机器"
"HASH_8A10E2DE": "For cool customers"
"HASH_D70302DE": "下巴高低"
"HASH_DE5014DE": "非裔 2"
"HASH_4FAF32DE": "全喷漆"
"HASH_5A1412DE": "贴花 7"
"HASH_7EE578DE": "UNCLE SAM"
"cf_wrst_50sbracelet": "VINTAGE BANGLE"
"HASH_C450DEDE": "紫红 4"
"HASH_0A5872DE": "棕色 5"
"HASH_6D1F2EDF": "颈后深度"
"HASH_7FCD18DF": "深紫"
"HASH_8FA1C8DF": "警署制服"
"HASH_59AD54DF": "当圣徒落泪"
"HASH_3226AADF": "黄橙 8"
"HASH_FDF1D8E0": "忍者"
"HASH_BD510AE0": "选项 10"
"HASH_32A60CE0": "圣徒星球耳环"
"HASH_D50210E0": "合身牛仔裤"
"HASH_8BCBA6E0": "牛仔女郎风"
"HASH_E565C4E0": "CELTIC WOLF"
"HASH_0F073EE1": "The Zin's heaviest hitter."
"HASH_CDA938E1": "混音 107.77"
"HASH_32ADDEE2": "Put two energy balls in play with each squeeze of the trigger."
"HASH_FD610CE2": "HERO OF THE DESERT"
"HASH_047CCAE2": "摔跤手帮特勤"
"HASH_50EC68E2": "派对时光丁字裤"
"HASH_6154D4E2": "STYLISH PUNK EARRING"
"HASH_2EF030E2": "山丘魔术师马甲"
"cf_ubdy_camisole": "LACY CAMISOLE"
"HASH_5FDFDEE2": "白色"
"HASH_6593ACE2": "抛锚沉底"
"HASH_410A26E2": "弄蛇人"
"HASH_19EDD2E2": "困于蛛网"
"HASH_9EAC96E3": "GUNMETAL"
"HASH_FB42E6E3": "耳垂大小"
"HASH_2E678AE3": "丹尼尔·桑"
"HASH_04DB8CE3": "羽饰帽"
"HASH_EC6AF8E3": "SLASHER"
"HASH_487D5EE4": "自定义角色"
"HASH_A9FE8AE4": "歌舞伎红"
"HASH_DD4D5CE4": "卡巴纳短裤"
"HASH_83AE92E5": "黑玛瑙"
"female_overweight": "女性超重"
"HASH_0B62C4E5": "冷酷到底"
"HASH_F5F9B2E5": "痣 5"
"HASH_FBB2F2E6": "车窗染色"
"HASH_8F045CE6": "黑色"
"HASH_FD31E4E6": "亮蓝"
"HASH_6C350AE7": "Double rainbow ... what does it mean?"
"HASH_2A9A2EE7": "武器 2"
"HASH_6AF5EEE7": "镀铬"
"HASH_E75E98E7": "山丘休闲装"
"HASH_7C87C0E8": "For urban predators."
"HASH_84C760E8": "锐舞 X 荧光棒手环"
"HASH_06188AE8": "暗号特供"
"HASH_E65D6EE8": "明眸"
"HASH_4D0A02E8": "橙色 7"
"HASH_92E042E9": "BACKBLAST"
"HASH_0CC634E9": "The weapon now bashes most opponents into bloody bits."
"HASH_EC366AE9": "A big gun for a big guy"
"HASH_74D220E9": "肌肉量"
"cm_foot_slshoes": "CASUAL WALKER"
"HASH_48AD16EA": "LOUD LOCUST"
"HASH_71082EEA": "男性 1"
"HASH_C4B970EA": "赞许"
"HASH_2FD746EA": "晨星帮手套"
"HASH_07F1A4EA": "无政府手环"
"HASH_189126EB": "What is this? Another ultimate weapon?"
"HASH_D9572AEB": "NAILGUN"
"HASH_46D4E0EB": "下唇侧高低"
"HASH_262498EB": "清凉薄荷绿"
"HASH_76C10EEB": "机械"
"HASH_E94F34EB": "派对时光手链"
"HASH_7D9CC6EB": "复古盘发"
"cm_ubdy_sweatmurder": "MURDER BRAWL SWEATSHIRT"
"cm_ubdy_joecolatee": "JOE COLA TEE"
"HASH_52E8F2EC": "Feel like you could take on the world?"
"HASH_8EAFF8EC": "火辣短裤"
"HASH_551348EC": "贴身"
"HASH_98E772ED": "嘲讽"
"CUST_VARIANT_DEFAULT": "默认"
"HASH_443392ED": "BANDIT"
"cm_lp35l_suit": "FLIGHT SUIT"
"HASH_CE9774ED": "INTO THE FLAME"
"HASH_0831F6ED": "活着或……"
"cm_lbdy_hoochishorts": "DAISY APPROVED SHORTS"
"HASH_8607B6EF": "Acid-laced bullets do additional damage over time."
"HASH_1B62AAEF": "DAY OF THE DEAD"
"HASH_8568C0EF": "Suppress your next insurgency in style."
"Level_3": "第 3 关"
"HASH_FCF3F4EF": "条纹垂坠"
"HASH_9110FAEF": "羊绒上流"
"HASH_47269AEF": "深红"
"HASH_B2C1C8EF": "张嘴"
"HASH_86C2A8EF": "黄绿 5"
"HASH_1EBFB0F0": "Projectiles have more explosive power"
"HASH_52B1FAF0": "下颌间距"
"HASH_29ADF0F0": "金属"
