# TODO: Translate to Simplified Chinese
# Source: hud_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1392

"HASH_0FFDDB00": "招募兄弟"
"HASH_DEDCC559": "JOIN {PARTNER_NAME}'s QUEST"
"Chainsaw": "伐木者"
"HASH_88ED6C5A": "{ACCELERATE_IMG} 加速 \n{BRAKE_REVERSE_IMG} 刹车 + 倒车\n{HANDBRAKE_IMG} 漂移"
"HASH_6A36D15A": "HACK - VEHICLE DELIVERY"
"HASH_5DD1875A": "The Silver Age Princess costume as introduced in Queen Amazonia #128!"
"HASH_3EF7035A": "LIN"
"HASH_979EDE5B": "VTOL 操作"
"HASH_ACE4385B": "据点"
"HASH_8D9DE65B": "衣柜"
"HASH_9113845B": "Collect virus laden vehicles to increase your control of the world."
"HASH_7D884D5B": "武器 - SA-3 空袭呼叫"
"HASH_D738205B": "恶名 - 赛博帮 3"
"HASH_598E9F5B": "帮派 - 新载具"
"HASH_6BF4D25B": "可携带多 50%% 的手枪弹药"
"HASH_0836815B": "占领火药据点后，你获得的所有声望额外增加 5%%"
"HASH_FCA5075B": "特警队"
"HASH_1DF9FB5B": "抢劫"
"HASH_D65B895B": "重试还是退出根据地？"
"HASH_ED5B525C": "嘲讽 / 捧场"
"HASH_8849145C": "可携带多 75%% 的步枪弹药"
"HASH_6E39C05C": "无限炸药弹药"
"HASH_9D7B875D": "你从卡弗岛区域获得的每小时城市收入额外增加 15%%"
"HASH_DA0C9A5E": "折扣 - 武器"
"HASH_F5E8895E": "恶名 - 晨星帮 3"
"HASH_EF87705E": "隐藏"
"HASH_49C8515E": "RESET OR EXIT RIFT?"
"Molotov": "燃烧瓶"
"HASH_83384D5E": "Attempting hack..."
"HASH_9232E35F": "{ACTION_IMG} 抓人盾\n人盾能替你挡子弹，还能给你争取喘息时间。"
"HASH_51BC615F": "帮派自定义"
"HASH_D0F7EF5F": "呼叫特警队协助战斗"
"HASH_6CABAC5F": "招募两名圣徒兄弟。按 {RECRUIT_DISMISS_IMG}  招募附近的圣徒。"
"HASH_BDD6395F": "近战 - 威力 3"
"HASH_5C33AF5F": "Call in a squad of Super Saints to back you up."
"HASH_C21B6A60": "Use TK [image:ui_hud_gsi_obj_tele] to throw explosive CIDs at Zinyak."
"HASH_1312BB60": "You now have a set of Watercraft available at your Gateway Garage"
"HASH_CAB55660": "Saints Backup can be found in your HUB \\"PHONE\\" menu. Saints will arrive to help in combat"
"HASH_3A37DF60": "升级伯恩斯山核反应堆据点后，你获得的所有声望额外增加 15%%"
"HASH_E3E88A60": "复活强尼·盖特的僵尸尸体作为后援。"
"HASH_D6BFDB60": "鲨鱼喷射器"
"HASH_1CA78D61": "Drive Lin around, avoiding pursuers, while she gets revenge on William Sharp."
"HASH_641EB261": "You will be immune to explosive damage."
"HASH_2116FC61": "新"
"HASH_0B32F061": "{SKIP_MODAL_SEQUENCE_IMG} 投票跳过"
"HASH_79120162": "帮派自定义"
"HASH_DF2CB262": "改装载具"
"HASH_FFF5C362": "可携带多 50%% 的特殊弹药"
"HASH_52155D62": "Super Power Team Up!"
"HASH_4E6E5A63": "载具 - 飞行器"
"HASH_EADDF163": "Light reduction in damage when hit by a vehicle."
"HASH_B9786F63": "你的据点武器库可多储存 10%% 弹药。"
"HASH_C0F04C63": "NOTORIETY HACK"
"HASH_39051963": "STAG 步枪采用激光技术，彻底免装弹匣。  当心枪管过热。"
"HASH_AC56BA63": "跳上杀霸"
"HASH_34E82664": "自动拾取你身上没有的武器。\n按住{WEAPON_MENU_IMG}打开武器菜单，用{WEAPON_SELECT_IMG}切换武器。"
"HASH_0BA81864": "奖励：每小时现金收入提升"
"HASH_30D51064": "帮派 - 武器 - 霰弹枪"
"HASH_667B6764": "OUTFIT - QUEEN AMAZONIA"
"HASH_23883264": "你的帮派现在可以收纳警察。"
"HASH_07B67164": "叫肖恩蒂来帮你。"
"HASH_534A6964": "烈焰焚化者"
"HASH_F9BB1964": "切换模式"
"HASH_B0243F65": "弹药 - 步枪"
"HASH_E497BA65": "兄弟们获得大幅生命提升"
"HASH_7D00AA65": "DAMAGE - SMALL ARMS 2"
"HASH_D6B15165": "载具配送"
"HASH_681EC365": "First of Many"
"HASH_622D1D66": "{SPRINT_IMG} SPRINT through checkpoints. \n\nHit [format][color:green]Super Boost Orbs[/format] for even more speed.\n\nUpwards arrows mean jump soon!"
"HASH_4D4ECC66": "载具 - STAG 坦克"
"HASH_41E94B66": "帮派 - 生命提升"
"HASH_7C6FDF66": "服装 - 马桶"
"HASH_E5F04D66": "Lays down magnetic proximity mines that can catch foes flatfooted."
"HASH_6C906A66": "音爆者"
"HASH_EF03D866": "Benjamin [CENSORED] King"
"HASH_58D65C67": "兄弟 - 丧尸后援"
"HASH_6E1FD167": "生命回复速度略微加快"
"HASH_1D712D67": "STARTING A NEW QUEST"
"HASH_2B401567": "干掉杀霸"
"HASH_83798768": "{ACTION_IMG} 抓人盾 \n按{CBA_OFC_HS_EXECUTE_IMG}处决人盾"
"HASH_F837E268": "Gang customization lets you choose what your Saints wear, drive and say."
"HASH_B6515F68": "弹药 - 冲锋枪 3"
"HASH_0DD86368": "载具 - 坦克"
"HASH_4BBA7568": "New Downloadable Content is available in your Gateway Weapon Cache, Wardrobe, and Virtual Garage."
"HASH_57A88468": "STAG 版本的霰弹枪。  无需装填，但小心枪管过热。"
"HASH_4B40C469": "你解锁了更多拐人救美活动。\n在地图上查看地点。"
"HASH_8900C569": "Zimos can be found in your HUB \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_74FEBC69": "伤害 - 坠落"
"HASH_24353769": "This alien weapon lays down the law ... and a blast of superheated plasma."
"HASH_6BB04869": "一个荒诞的成人玩具，却有着棒球棍的杀伤力。"
"HASH_164BFC6A": "武器 - 遥控夺取器"
"HASH_99FD016A": "你的帮派现在可以使用赛博帮载具。"
"HASH_376CFE6A": "请重新连接手柄并按下 {PAUSE_MENU_IMG} 继续"
"HASH_0982FB6B": "韦斯利·卡特国际机场"
"WPNCAT_SUB_MACHINE_GUN": "冲锋枪"
"SMG_STORM": "RAPID-FIRE SMG"
"HASH_71F8656C": "弹药 - 手枪 3"
"HASH_01EB986C": "占领伯恩斯山核反应堆据点后，你的城市收入转账上限提升。"
"HASH_C205586C": "必须等你的搭档加入完毕。"
"HASH_EF95136D": "[format][color:red]UNMASK KILLBANE[/format]"
"HASH_16E3C56D": "奖励：杀霸的面具"
"HASH_C803016D": "兄弟 - 丧尸盖特"
"HASH_15D6ED6D": "你的赛博帮恶名衰减速度加快"
"HASH_04C98C6D": "MINETHROWER ARM"
"HASH_17E54D6D": "How It Should Be"
"HASH_552B9E6E": "可下载内容"
"HASH_F5D51F6E": "升级商店"
"HASH_62B7E46E": "NOTORIETY - FASTER DECAY"
"HASH_1299856E": "兄弟 - 武器"
"HASH_C2BD7E6E": "正在等待 %ls 确认开始任务"
"HASH_6505726E": "液压悬挂 关"
"HASH_2C584B6F": "根据地 - 三秒压制"
"HASH_FA78716F": "Luchadore vehicles are available at your Gateway Garage"
"HASH_3538C86F": "10%% bonus to ALL Cache earned."
"HASH_C911D570": "Provide protection for C.I.D."
"HASH_66477570": "可携带多 25%% 的步枪弹药"
"HASH_42906F70": "技能 - 血肉横飞"
"HASH_7AD10C70": "新巴拉内克"
"HASH_447F8070": "Give your foes a close encounter. Also works on cows."
"HASH_5D48B370": "SUIT BLASTER"
"HASH_ECF48570": "需要水上载具才能使用船坞"
"HASH_8A314270": "PLEASE RECONNECT THE XBOX 360 CONTROLLER AND PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"HASH_23176070": "Half Way Home"
"HASH_D9CF8A70": "A Real Cluster..."
"HASH_ED4FAE71": "在你的手机圣徒簿中查看暗杀目标、偷车清单与挑战。"
"HASH_7375E671": "你从卡弗岛区域获得的每小时城市收入额外增加 5%%"
"HASH_E6B65A71": "升级你的帮派成员以携带霰弹枪"
"HASH_0C7FFF71": "You will not take any damage from bullets and lasers."
"HASH_6DD9BE71": "退出卫星视图"
"HASH_1BE6E872": "恶名 - 晨星帮"
"HASH_6BB89572": "At last, the range of a rifle paired with the finesse of a brutal curbstomp!"
"HASH_F1262373": "武器商店"
"HASH_3A8AC573": "You will not take ANY damage from fire."
"HASH_33954A73": "杀霸的面具现已可穿戴"
"HASH_53D85873": "近战 - 威力"
"HASH_0FE0D373": "已完成"
"HASH_976FF674": "Clothing stores let you to customize your character.  Buying clothes earns [format][color:purple]XP[/format]."
"HASH_9B56EF74": "可携带多 50%% 的炸药弹药"
"HASH_34972774": "Increase all Cache received by 15%%"
"HASH_9AD09274": "秒"
"HASH_2A73E774": "FLASHPOINT CLEARED"
"HASH_5009FC74": "Saints & Sensibility"
"HASH_6BC60175": "直升机武器"
"HASH_B7594475": "根据地 - 伯恩斯山核反应堆"
"HASH_30238475": "Hourly City Income of {GAME_CASH}1,000 for keeping the Morningstar hos"
"HASH_F9246E75": "冲刺距离延长 100%%"
"HASH_1CB09075": "你的巢穴衣橱与车库中已有新的可下载内容。"
"HASH_47051C75": "一根长长的木棍。打人打物样样在行。  不解释。"
"HASH_36826375": "遥控夺取器"
"HASH_16682875": "霰弹枪弹药"
"HASH_1A858A76": "飞机操作"
"HASH_396E6B76": "服装 - 枢机主教服"
"HASH_2D0B3476": "转账上限"
"HASH_93B3A777": "无人机武器"
"HASH_39364177": "恶名 - 赛博帮"
"HASH_4BF7BE77": "You now have a STAG VTOL available at your Gateway Garage"
"HASH_E638E077": "升级火药据点后，你获得的所有声望额外增加 15%%"
"HASH_29DEFB77": "你的帮派现在可以收纳吉祥物。"
"HASH_75006A77": "在相关技术授权给 STAG 之前，乌托尔拦截者才是最初的喷射摩托。 "
"HASH_987DC777": "You now have the cyberspace car and bike available at your Gateway Garage"
"HASH_3F25AC77": "伤害 - 载具 2"
"HASH_150D5777": "圣徒们的标配手枪。"
"HASH_D7AD6E78": "区域每小时现金"
"HASH_EE359178": "VEHICLE - SCREAMIN' EAGLE JET"
"HASH_1D0B3878": "服装 - 战士公主"
"HASH_33D50578": "无限手枪弹药"
"HASH_80294978": "升级你的帮派成员以携带步枪"
"HASH_F5FA2B78": "帮派 - 复活计时 2"
"HASH_723EEA78": "阿拉皮斯岛"
"HASH_F5542578": "Definitely not street-legal, but when did that stop The Saints?"
"HASH_CD9F1078": "It's all good - especially when every gang kill with this weapon snags you extra Respect."
"HASH_DC9BBB78": "用这颗手雷震晕你的敌人。"
"HASH_D57EAD79": "C.I.D."
"HASH_202BFB79": "把这份炸药包粘在任何你想扔的东西上。  按下引爆器之前，先确保你自己已经撤到安全距离。"
"HASH_AF74AE79": "USE COMPUTER"
"HASH_6E271F7A": "挑战"
"HASH_166C747A": "CAR COMBAT"
"HASH_E4C7777A": "奖励：武器升级费用降低"
"HASH_6114157A": "可携带多 25%% 的手雷"
"HASH_B74FB97A": "Your Notoriety will decay at a faster rate"
"HASH_E674217A": "Further increases the power of your punches and how far you can throw people."
"HASH_71A07A7A": "Harder instances of the FRAUD Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_EE642A7A": "终极太空公主服，手套、短裙与靴子一应俱全。"
"HASH_2CB1707A": "据点 - 伯恩斯山核反应堆"
"HASH_93C39C7A": "武器库弹药"
"HASH_BB659F7A": "英里"
"HASH_A6FD2A7A": "巡航控制"
"HASH_7CD2347B": "钢埠各处散布着特技跳跃点。所到之处留意寻找！"
"HASH_410CD77B": "FORCE SHIELD"
"RIFLE_GANG": "AUTOMATIC RIFLE"
"PISTOL_GANG": "HEAVY PISTOL"
"HASH_DFAD9C7B": "这辆载具无法存入车库"
"HASH_90182B7B": "Chill Out"
"HASH_E043F47C": "技能 - 氮气加速"
"HASH_5E2EE47C": "据点 - 肖恩蒂前男友的公寓"
"HASH_3D44667C": "收集品探测器"
"HASH_B8564A7C": "+{0}秒"
"HASH_ED8D8C7C": "你必须身处载具内才能激活此触发点"
"HASH_DB90757D": "近战格斗"
"HASH_9DD93F7D": "COMMANDER-IN-CHIEF PACK"
"HASH_C16EBC7D": "奖励 - STAG"
"HASH_FCC4907D": "100,000 Cache."
"HASH_580A387D": "提基火把"
"HASH_0037AA7D": "One hit. One kill. No mess to clean up."
"HASH_4C0A707D": "ACTIVATE WARP POINT"
"HASH_FCF8067E": "时段"
"HASH_92A7467E": "Hourly Cache Transfer of {game_cash}1,500"
"HASH_79C0A97E": "Kinzie can also be called into the simulation from your HUB \\"PHONE\\" menu. She will help the Saints in combat."
"HASH_2889F87E": "ALIEN SMG"
"HASH_0C3C0E7E": "The Two Shaundis"
"HASH_4F9E4B7F": "帮派 - 新载具"
"HASH_4D2CFF7F": "手枪瞬间换弹"
"HASH_C348B67F": "伤害 - 爆炸 3"
"HASH_F392647F": "伯恩斯山"
"HASH_D5CAF880": "STOMP"
"HASH_C17E8981": "TK CIDs"
"HASH_FD497881": "抢劫"
"HASH_C8666E81": "{WEAPON_MENU_IMG} + {WEAPON_SELECT_IMG} 切换武器"
"HASH_43A6B781": "SILVERLINK - HAIRSTYLE"
"HASH_029D2881": "Four times as much Cache is dropped by deleted simulations"
"HASH_DF686381": "城市接管"
"HASH_C5909E81": "想要大爆炸和猛火力，选火箭筒准没错。"
"HASH_C9939281": "现金 {0}"
"HASH_7F92CB82": "Jewelry Stores allow you to customize your character. Buying jewelry earns [format][color:purple]XP[/format]."
"HASH_B04ACB82": "{CBA_OFC_HS_EXECUTE_IMG} 处决人盾"
"HASH_885D0F82": "Deep Silver weapon costume for the Guardsman AR."
"HASH_21CE8582": "自定义角色"
"HASH_70C0A582": "PARTNER'S OBJECTIVE"
"HASH_3E960082": "TENTACLE BAT"
"HASH_31BEE882": "Joe Magarac's fabled ladle, like Paul Bunyan's axe but with greater carrying capacity."
"HASH_C0A88D83": "弹药 - 手雷"
"HASH_E73F5883": "兄弟 - 直升机"
"HASH_A11DCE83": "复活 - 速度 3"
"HASH_FB410C83": "正在与 %ls 确认开始活动"
"HASH_2186FE83": "从金吉那里获得后援。"
"HASH_C3D65383": "Machine Man"
"HASH_38779784": "5%% bonus to ALL XP earned"
"HASH_60D22484": "与 STAG 任务选择相关的奖励已发放。请查看你的电话簿、据点武器库与车库。"
"HASH_922E1F84": "DEATH FROM ABOVE"
"HASH_E9670B85": "电台控制"
"HASH_1CD82A85": "按住 {ATTACK_PRIMARY_IMG} 蓄力射击"
"HASH_383C7185": "[format][color:red]DESTROY ZOMBIE VIRUS FOR THE MAYOR[/format]"
"HASH_5D5CA885": "[format][color:Purple]TAKE OVER A VEHICLE MANUFACTURER[/format]"
"HASH_678DF585": "帮派自定义"
"HASH_161CDB85": "帮派自定义"
"HASH_54194185": "在你的据点武器库装备电锯。"
"HASH_7C6CB385": "You now have a STAG tank available at your Gateway Garage"
"HASH_11078B85": "You have unlocked the Slow Motion cheat."
"HASH_FA927A85": "加成 - 现金"
"HASH_F697B885": "清除你当前的执法部门恶名。"
"HASH_EF45AF85": "安吉尔"
"HASH_424BE385": "A brutally-effective street-sweeper of alien design."
"HASH_1C70BD85": "车载 .50 机枪"
"HASH_EF06F485": "DELETED"
"HASH_903B1185": "任务或活动期间无法自定义你的载具"
"HASH_C3791E86": "DJ VETERAN CHILD"
"HASH_13E3C587": "开得又快又稳，让老虎开心并提升你的勇气。"
"HASH_922DEB87": "区域每小时现金"
"HASH_B2582B87": "你装填所有武器的速度更快"
"HASH_D94B7687": "据点 - 金吉"
"HASH_76311787": "EXECUTE"
"HASH_B1382C87": "你造成了 %5.1f 点伤害！"
"HASH_7E818188": "氮气"
"HASH_12B90088": "BONUS - XP 3"
"HASH_A5AA1788": "{0}{TEMP_DEGREES}"
"HASH_0C647988": "%ls has hacked a new store.  Now you both own it."
"HASH_CF006389": "[format][color:green]GO TO THE STATUE[/format]"
"HASH_A7BCFA89": "[format][color:blue]DELIVER HOS TO MORNINGSTAR[/format]"
"HASH_C2DC2389": "[format][color:yellow]DISARM THE BOMB[/format]"
"HASH_24AC2A89": "区域每小时现金"
"HASH_083D4489": "据点 - 齐莫斯的宅子"
"WPNCAT_THROWN": "投掷"
"HASH_02433789": "SA-3 空袭"
"HASH_CF3D318A": "你现在拥有这个街区。\n每小时你会从中获得一笔小额收入，存入你的据点藏匿处。你还可以购买这个街区任意商店的股份，以获得额外的每小时收入。"
"HASH_B9F18E8A": "STAMINA - INCREASE 2"
"HASH_8195BC8A": "帮派自定义"
"HASH_C44ABA8A": "更快装填 1"
"HASH_8016F38A": "动作捕捉服已添加到你的据点衣柜中"
"HASH_329E828A": "洛伦广场"
"HASH_9199B28B": "武器库"
"HASH_C0A86C8B": "区域每小时现金"
"HASH_3393CC8B": "帮派自定义"
"HASH_A3743E8B": "双持 - 手枪"
"HASH_9456EE8B": "Harder instances of the BLAZIN Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_62A0DE8B": "你解锁了更多武直突击活动。\n在地图上查看地点。"
"HASH_0401948B": "Moderate increase in the melee damage you deal."
"HASH_FB99EC8B": "伤害 - 火焰"
"HASH_C262768B": "放弃导弹"
"HASH_EC4F3B8B": "Back in the Day"
"HASH_5BE32B8C": "黑货押运"
"HASH_F05EDE8C": "双持冲锋枪"
"HASH_DB08388C": "小时"
"HASH_7DFF628D": "载具操控"
"HASH_BE4DD88D": "生命 - 升级 2"
"HASH_5571218D": "Decker vehicles are available at your Gateway Garage"
"HASH_97E0DE8D": "Viola can be found in your Cell Phone \\"PHONE\\" menu. She will help the Saints in combat."
"HASH_EEC92C8D": "OBJECTIVE"
"HASH_267FEA8D": "你不能在这里存放这种载具"
"HASH_C1874D8E": "副武器开火"
"HASH_2BB4F38E": "载具 - 夜刃载具"
"HASH_4EE91E8E": "TAC SMG"
"HASH_52B7758E": "XP +{0}"
"HASH_5AC8968F": "SILVERLINK - WEAPON COSTUME"
"HASH_EB340D8F": "DANE VOGEL"
"HASH_6B99EB8F": "QUEST COMPLETE"
"HASH_F9EB7990": "{HELI_FIRE_PRIMARY_IMG} 发射机枪 \n{HELI_FIRE_SECONDARY_IMG} 发射火箭"
"HASH_EDD85390": "MAERO"
"FART_IN_A_JAR": "罐中臭屁"
"HASH_ACFAC491": "把风尘女从粗暴的掮客手中安全救回。"
"HASH_9D6CBC91": "MELEE - SUPER STRENGTH 2"
"HASH_94F0CF91": "You now have the cyber tank available at your Gateway Garage"
"HASH_2AC49791": "你的晨星帮恶名衰减速度略微加快"
"HASH_B5ED9591": "You will not take ANY damage from falls."
"HASH_57A9ED91": "伯恩斯山核反应堆现在是一座圣徒据点。在这里可以存取武器库、服装，并自定义你的帮派。"
"HASH_6F243F91": "Convert Cache to 8,000 XP"
"HASH_FEF10691": "转账上限"
"HASH_A3500491": "REPAIR VEHICLE FOR {GAME_CASH}%d"
"HASH_F0D37292": "TANK MAYHEM"
"HASH_5D3CAC92": "奖励：永久现金加成"
"HASH_8D3DB992": "SILVERLINK - CHEAT"
"HASH_2FFF5692": "圣徒会出现在你拥有的街区中。看到他们时按下 {RECRUIT_DISMISS_IMG} 招募附近的圣徒跟随你。"
"HASH_883F0492": "开始合作活动？"
"HASH_2F387192": "A miniature pistol of obscure origin and unknown capability"
"HASH_F212A792": "ZINTEK FORCE SHIELD"
"HASH_DF40A392": "The Twin Saints"
"HASH_8F8BE393": "{ACCELERATE_IMG} 加速 \n{BRAKE_REVERSE_IMG} 倒车"
"HASH_F0586D93": "{PLANE_ACCELERATE_IMG} 加速 \n{PLANE_BRAKE_REVERSE_IMG} 刹车 + 倒车 \n{PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} 翻滚"
"HASH_5F330C93": "[format][color:Purple]KEEP JOSH WITH THE SAINTS[/format]"
"HASH_72409693": "武器库弹药"
"HASH_7AD5C194": "载具 - STAG VTOL"
"HASH_31BCE394": "ACCESS TOWER"
"HASH_61481995": "蓄力武器"
"HASH_94F73895": "HOLD {WEAPON_MENU_IMG} + {AUDIO_PLAYER_PREV_TRACK_IMG} / {AUDIO_PLAYER_NEXT_TRACK_IMG}\nCHANGE RADIO STATION\n\nYour radio can be accessed at any time, on foot or in a vehicle."
"HASH_74B1F295": "声望加成"
"HASH_678B4195": "Equip the Loud Locust at your Crib Weapon Cache."
"HASH_084C1495": "枢机主教服现已可穿戴"
"HASH_E7F67F95": "你的据点武器库可多储存 10%% 弹药。"
"HASH_E9E80D95": "LIL' CROAKER"
"HASH_670FA495": "会唱歌、会爆炸、毛茸茸、还能控制心灵的章鱼。没错，控制心灵。我们是认真的。"
"HASH_5DA55296": "SILVERLINK - WEAPON COSTUME"
"HASH_2D92EF96": "夜刃包"
"HASH_B422A296": "升级三秒压制据点后，你获得的所有声望额外增加 10%%"
"HASH_74E0EE96": "Oleg can be found in your Cell Phone \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_5ECAC696": "占领超级销金窝据点后，你的城市收入转账上限提升。"
"HASH_CF1FFF96": "SWAP - CACHE FOR XP"
"HASH_888C9096": "充气娃娃"
"HASH_33BFEF96": "Experimental Tech"
"HASH_1035F997": "直升机操控"
"HASH_7F2E9C97": "Hacking Stores gives you control of the immediate area and provides an increased Cache Transfer Rate."
"HASH_05B55897": "BONUS - CACHE BOOST 3"
"HASH_A8CCC697": "And you thought turning your head to cough was bad..."
"HASH_10F45D98": "Customized vehicles are saved and can be retrieved, even if destroyed, any time from the HUB - PHONE - VEHICLE DELIVERY menu, Rim Jobs, or Gateway Garage."
"HASH_F15FFC98": "闪耀霰弹枪能提升击杀敌人获得的声望。"
"HASH_02A36398": "升级超级销金窝据点后，你获得的所有声望额外增加 15%%"
"HASH_28860498": "BOUNCE RIFLE"
"HASH_A9C77D98": "冲锋枪弹药"
"HASH_E3C35199": "兄弟 - 特警后援"
"HASH_CF328D99": "玩家生命值提升 100%%"
"HASH_11D38399": "你从市中心区域获得的每小时城市收入额外增加 10%%"
"HASH_FB1D8D99": "你解锁了更多护花使者活动。\n在地图上查看地点。"
"HASH_80C1C599": "市中心"
"HASH_4DF47399": "ENTER SIMULATION"
"HASH_646EAE99": "冷却武器"
"HASH_A200759A": "在重攻击时按下提示按键，可造成更高伤害并获取更多声望。"
"HASH_D529589A": "When called, wipes out all Alien notoriety"
"HASH_96D4BC9A": "传送回岸边"
"HASH_3D9B289A": "This cheat is disabled in Co-Op."
"HASH_5E495B9B": "弹药 - 特殊 2"
"HASH_8F30CB9B": "Deep Silver weapon costume for the McManus 2020."
"HASH_FDD7B99B": "猩红炮台的摩托与夜刃座驾。速度。力量。格调。"
"HASH_C4D8549B": "Medium increase to time before followers bleed out."
"HASH_D409EC9C": "巡航控制"
"HASH_2EA1009C": "丧尸潮"
"BASEBALL_BAT": "棒球棒"
"HASH_1AA4399D": "{SHOULDER_CAMERA_IMG} 缩放"
"HASH_A385399D": "BONUS - CACHE TRANSFER RATE 3"
"HASH_0EA29F9D": "根据地 - 暗号"
"HASH_CDFB469D": "SCANNED"
"HASH_B1D3E49D": "YOU ARE ABANDONING %d [format][color:purple]FOLLOWER(S)[/format]"
"HASH_5024FF9D": "Better This Way"
"HASH_4A602D9E": "载具 - 赛勒斯·坦普尔的 VTOL"
"HASH_1ACF6E9E": "弹药 - 冲锋枪 4"
"HASH_2EBEE59E": "得益于马特·米勒的黑客技术，载具定制费用降低 50%%"
"HASH_1630879E": "所有随从生命值提升 20%%"
"HASH_13BD6C9E": "CHARGING"
"HASH_7877E49E": "东南区"
"HASH_A525999E": "Take a spin with DJ Veteran Child."
"HASH_F9DC679E": "Street version of the SMG, trades portability for longer effective range."
"HASH_39C61D9F": "生命 - 回复 2"
"HASH_4870C79F": "转账上限"
"HASH_9A81D8A0": "技能 - 拾荒 VIP"
"HASH_00D296A0": "赛博帮的标志性佩剑。"
"HASH_ACF5F9A0": "末日神拳"
"HASH_5DE1E8A0": "S3X 巨锤"
"HASH_3B42A5A0": "这辆载具无法存入车库"
"HASH_71105CA0": "The Whole Story"
"HASH_952D3BA1": "武器 - 炸药包"
"HASH_FB51DAA1": "在服装店享受 15%% 折扣"
"HASH_8F0FF2A1": "厄尔伍德"
"HASH_3E5A51A1": "Have Cyrus guard your flank."
"HASH_86F3AFA1": "适合在 500 码外送上‘爱的轻抚’……而所谓‘爱的轻抚’，我们指的是‘爆头开花’。"
"HASH_9F25FCA1": "ALIEN RPG"
"HASH_85C688A2": "特技跳跃"
"HASH_E50E73A2": "角色定制"
"HASH_DB630DA2": "RONIN SWORD"
"HASH_5FEF4DA3": "声望加成"
"HASH_F84C8FA3": "Harder instances of the TANK MAYHEM Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_18989CA3": "呼叫你的替补与你并肩作战。"
"HASH_778ED2A3": "未知"
"HASH_F80313A4": "狙击镜升级"
"HASH_FCB761A4": "BONUS - XP"
"HASH_5C8E30A4": "Moderate reduction in damage taken from falls."
"HASH_C2270AA4": "物品 - 防毒面具"
"HASH_0BA09AA4": "直升机"
"HASH_6B63B5A4": "这是原型武器，如果你看到我，请告诉我"
"HASH_7C167BA4": "英尺"
"HASH_B6886DA5": "Your minimap displays the shortest legal route to your objective."
"HASH_4A1E2EA5": "瞬间装填 - 步枪"
"HASH_EB1CD7A5": "It's a party in a gun! Make the world dance to your beat and fear the power of your wubs!"
"HASH_986359A5": "FLASHPOINT"
"HASH_2A44DBA6": "更快装填 3"
"HASH_68AA47A6": "分"
"HASH_70F935A6": "重试或退出任务"
"HASH_D2F665A7": "{0} 解散"
"HASH_15978DA7": "伤害 - 火焰 3"
"HASH_CF86B3A7": "Get down to business with Dane Vogel."
"HASH_9784D5A7": "Rain down on your enemies with a plague of explosive frogs!"
"HASH_4DC1F9A7": "死神无人机"
"HASH_BE1FFBA7": "%.1f 米！"
"HASH_98F586A8": "SECURITY DELETION"
"HASH_FBB254A8": "软体动物发射器"
"HASH_95DFDDA8": "AUDIO LOGS"
"HASH_029894A8": "弹药 - 步枪 4"
"HASH_D679F6A8": "15%% bonus to ALL XP earned"
"STUN_GUN": "电击枪"
"HASH_7E196EA9": "You now have the Mars Rover available at your Gateway Garage"
"HASH_FF09EAA9": "You have unlocked the Bloody Mess cheat."
"HASH_5B810FA9": "这是手雷；爆炸时会很疼。"
"WPNCAT_MELEE": "近战"
"HASH_54D654A9": "5 YEARS LATER..."
"HASH_CD5FA2AA": "If a follower loses all their health, you have only a few seconds to reach and revive them."
"HASH_D0A5B8AA": "生命 - 回复 4"
"HASH_58B49CAA": "你从斯坦菲尔德区域获得的每小时城市收入额外增加 10%%"
"HASH_861BB6AA": "正在与 %ls 确认开始根据地"
"HASH_2B2129AA": "A dozen guns, a rocket launcher, and a flamethrower, all wrapped together behind one convenient trigger."
"HASH_543E4CAA": "此活动期间你不能来这里"
"HASH_F48F91AA": "KILL COMMAND C.I.D."
"HASH_75FDC1AB": "VIRUS COLLECTION"
"HASH_9F8585AB": "天生设计能让你改变外貌、嘲讽动作和赞美动作。 "
"HASH_7C238AAB": "区域每小时现金"
"HASH_5C564AAB": "你装填所有武器的速度更快"
"HASH_180A03AB": "服装 - 动作捕捉服"
"HASH_6D93FDAB": "肖恩蒂"
"HASH_6CDD93AB": "JULIUS"
"HASH_0AB849AB": "进入船只"
"HASH_09B517AC": "{MENU_DP_LEFT_IMG} TAUNT \n{MENU_DP_RIGHT_IMG} COMPLIMENT \nInteract with people and gain [format][color:purple]XP[/format] by taunting and killing Aliens."
"HASH_8200C7AC": "Show off your goods for cache!"
"HASH_C441D0AC": "BONUS - XP"
"HASH_4E42DAAC": "特种行动载具包"
"HASH_265128AC": "玩家生命值提升 50%%"
"HASH_A81DDCAC": "升级"
"HASH_73E0A5AD": "Tattoo parlors allow you to customize your character. Buying Tattoos earns [format][color:purple]XP[/format]."
"HASH_68422EAD": "双持 - 冲锋枪"
"HASH_81E3B1AD": "在你的据点武器库装备音爆武器。"
